client,frequency,recency,monetary,order_count
u_10025,466.0,1026,32.1075,3
u_10028,647.0,746,27.9925,2
u_100765,497.0,656,30.4725,1
u_101029,272.0,626,29.59,5
u_101464,138.0,103,26.7125,2
u_101802,158.5,956,28.058333333333334,5
u_101845,625.0,145,27.465000000000003,2
u_10217,1063.0,174,27.14,2
u_102461,898.0,196,42.1925,2
u_103057,463.3333333333333,53,21.0875,3
u_103121,529.5,194,22.671666666666667,3
u_103442,83.5,123,27.186666666666667,3
u_103545,82.0,1218,20.395,5
u_103613,47.5,864,25.521666666666665,1
u_103927,504.0,195,23.588333333333335,2
u_104346,197.0,26,34.589999999999996,6
u_104449,271.0,270,12.655000000000001,1
u_104550,210.0,247,29.347499999999997,6
u_10469,1066.0,374,38.042500000000004,5
u_104742,1049.0,437,42.7775,2
u_104784,551.0,900,28.34,6
u_104860,635.0,409,23.965,1
u_105051,800.0,462,14.927499999999998,2
u_105076,326.0,58,29.583750000000002,4
u_105099,467.5,149,46.541666666666664,5
u_105313,1040.0,339,20.3825,2
u_105483,281.5,796,27.90833333333333,1
u_105552,426.0,819,26.845,5
u_105768,813.0,123,29.5325,3
u_106790,2.0,623,25.1725,1
u_106973,52.0,76,30.6725,5
u_106977,269.25,25,29.952999999999996,3
u_107160,503.0,505,33.7125,1
u_107174,180.0,702,25.540000000000003,1
u_107324,144.5,752,37.26166666666666,3
u_107358,107.0,784,25.34,5
u_107361,711.0,629,31.845,3
u_107408,792.0,531,20.805,2
u_107492,1054.0,76,27.095,3
u_107608,398.0,105,36.355000000000004,1
u_107901,501.0,26,38.5725,2
u_108049,1125.0,362,30.245,2
u_108071,178.0,701,23.9825,1
u_108453,285.0,685,19.447499999999998,1
u_108717,560.0,697,25.0,6
u_108905,68.0,554,42.735,11
u_109024,495.0,889,33.8975,2
u_109115,695.0,529,26.8275,2
u_109165,585.0,246,26.64833333333333,5
u_10933,552.0,604,23.7575,3
u_109474,656.0,177,38.68833333333333,6
u_109605,318.0,73,30.165,1
u_109794,1076.0,28,23.494999999999997,7
u_109927,401.0,401,21.613333333333333,1
u_109967,655.0,588,40.8625,2
u_110131,322.0,706,26.024999999999995,1
u_110264,305.0,926,17.855,5
u_11030,249.0,836,20.5775,1
u_11040,1203.0,73,30.2425,3
u_110765,453.5,436,24.906666666666666,2
u_110888,584.0,472,24.667499999999997,4
u_110988,57.0,144,25.830000000000002,4
u_11108,53.0,1066,24.6825,1
u_111093,545.5,205,37.03666666666667,2
u_111187,412.0,912,39.53,5
u_111274,977.0,281,46.010000000000005,6
u_111287,959.0,338,28.7275,1
u_111291,426.5,410,52.33833333333334,2
u_111363,415.0,228,30.292500000000004,5
u_111389,303.0,564,34.165,1
u_11173,1323.0,164,16.490000000000002,1
u_111775,526.0,828,42.045,6
u_11206,1044.0,86,26.802500000000002,1
u_112147,549.0,125,35.72,1
u_112386,559.0,302,38.10666666666667,2
u_11241,785.0,101,18.4225,3
u_112922,238.5,363,30.37333333333333,4
u_113372,307.0,438,28.835,2
u_113536,216.5,312,25.839,2
u_113593,983.0,363,37.63,9
u_113947,212.0,429,38.7675,3
u_114078,669.0,168,40.0525,3
u_114277,456.0,340,32.11333333333334,4
u_114358,681.0,137,37.6025,3
u_114373,227.0,985,25.87,1
u_114511,327.0,586,38.585,2
u_114513,384.0,559,27.159999999999997,1
u_114528,817.0,98,31.3625,6
u_115825,446.0,563,18.0575,1
u_115970,823.0,555,27.9075,1
u_116025,935.0,173,37.655,4
u_116093,142.0,842,21.5125,5
u_116114,686.0,228,20.2475,1
u_116364,25.0,577,28.4725,3
u_116639,1008.0,459,40.12,8
u_116875,357.5,246,16.58,3
