daily,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
2020-12-31,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,242.0,495.0,83.0,54.0,32.0,16.0,22.0,19.0,14.0,13.0,7.0,5.0,8.0,10.0,4.0,9.0,12.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,165.0,105.0,73.0,39.0,35.0,22.0,30.0,29.0,14.0,7.0,5.0,13.0,10.0,19.0,26.0,9.0,7.0,16.0,7.0,13.0,13.0,17.0,6.0,9.0,3.0,4.0,5.0,10.0,9.0,3.0,7.0,7.0,4.0,9.0,7.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,8.0,8.0,2.0,6.0
2021-01-02,162.0,99.0,55.0,32.0,20.0,26.0,16.0,26.0,32.0,14.0,17.0,7.0,13.0,7.0,28.0,15.0,11.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,200.0,115.0,54.0,56.0,45.0,37.0,66.0,53.0,30.0,26.0,19.0,27.0,29.0,40.0,46.0,19.0,20.0,18.0,32.0,18.0,43.0,47.0,13.0,24.0,17.0,5.0,6.0,24.0,28.0,10.0,4.0,14.0,9.0,8.0,20.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,7.0,8.0,9.0,9.0,0.0
2021-01-03,15.0,52.0,32.0,29.0,18.0,11.0,7.0,18.0,8.0,7.0,6.0,4.0,6.0,12.0,12.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,19.0,14.0,8.0,6.0,11.0,10.0,18.0,24.0,9.0,13.0,11.0,13.0,6.0,20.0,29.0,5.0,14.0,11.0,11.0,7.0,16.0,17.0,9.0,11.0,13.0,1.0,7.0,14.0,13.0,1.0,4.0,7.0,2.0,7.0,5.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,3.0,6.0,3.0,7.0,0.0,0.0
2021-01-04,14.0,28.0,19.0,18.0,8.0,6.0,19.0,7.0,1.0,4.0,4.0,3.0,6.0,4.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,5.0,7.0,5.0,2.0,3.0,14.0,15.0,4.0,6.0,4.0,9.0,1.0,6.0,17.0,3.0,1.0,3.0,4.0,4.0,14.0,8.0,4.0,4.0,6.0,2.0,3.0,4.0,2.0,5.0,4.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0
2021-01-05,8.0,21.0,20.0,9.0,11.0,6.0,6.0,4.0,1.0,1.0,1.0,4.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,11.0,6.0,5.0,4.0,9.0,9.0,16.0,12.0,6.0,3.0,2.0,2.0,3.0,14.0,16.0,3.0,5.0,2.0,5.0,5.0,9.0,10.0,4.0,2.0,4.0,2.0,6.0,12.0,7.0,2.0,0.0,5.0,2.0,2.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
2021-01-06,3.0,13.0,9.0,13.0,1.0,4.0,0.0,2.0,1.0,1.0,4.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,1.0,7.0,3.0,5.0,3.0,8.0,8.0,4.0,4.0,3.0,4.0,3.0,10.0,10.0,5.0,2.0,4.0,7.0,1.0,13.0,6.0,6.0,3.0,4.0,2.0,1.0,3.0,6.0,1.0,1.0,0.0,4.0,3.0,5.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-01-07,2.0,2.0,5.0,11.0,1.0,5.0,2.0,2.0,2.0,5.0,6.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,10.0,1.0,6.0,3.0,3.0,5.0,11.0,11.0,3.0,7.0,3.0,5.0,2.0,9.0,8.0,6.0,7.0,3.0,4.0,7.0,7.0,7.0,3.0,7.0,6.0,1.0,5.0,3.0,5.0,2.0,2.0,3.0,3.0,2.0,3.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-08,1.0,9.0,11.0,7.0,2.0,4.0,3.0,5.0,8.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,7.0,6.0,2.0,4.0,6.0,10.0,15.0,4.0,6.0,6.0,9.0,7.0,7.0,12.0,4.0,6.0,10.0,3.0,4.0,14.0,15.0,1.0,5.0,6.0,2.0,2.0,8.0,4.0,2.0,0.0,3.0,5.0,1.0,2.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-09,4.0,16.0,9.0,6.0,5.0,3.0,8.0,13.0,10.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0,10.0,8.0,7.0,10.0,10.0,25.0,29.0,11.0,11.0,13.0,11.0,8.0,19.0,30.0,15.0,13.0,13.0,14.0,12.0,15.0,25.0,4.0,5.0,9.0,5.0,4.0,10.0,14.0,4.0,4.0,6.0,7.0,4.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,1.0,4.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
