dimension,daily,order_count,payment_amount,discount_amount,client_client_count
location_1,2021-05-18T00:00:00,15,461.34000000000003,12.51885,14
location_1,2021-05-19T00:00:00,1993,52326.45499999996,1448.0512000000006,1698
location_1,2021-05-20T00:00:00,1900,50227.18500000004,1367.8359000000005,1605
location_1,2021-05-21T00:00:00,2230,58647.299999999945,1318.0431499999995,1891
location_1,2021-05-22T00:00:00,2068,54521.89499999991,1407.0853000000006,1768
location_1,2021-05-23T00:00:00,1965,54365.905000000035,1374.3927499999982,1657
location_1,2021-05-24T00:00:00,1889,50271.21500000006,1343.8665999999996,1603
location_1,2021-05-25T00:00:00,2083,55781.05500000002,1306.4592999999995,1761
location_1,2021-05-26T00:00:00,1934,50752.64499999998,1350.5974499999993,1661
location_1,2021-05-27T00:00:00,2021,53202.415000000045,1433.7164499999997,1732
location_1,2021-05-28T00:00:00,1825,50584.50999999998,1388.6577499999994,1528
location_1,2021-05-29T00:00:00,2151,57320.17499999999,1430.0660500000004,1821
location_1,2021-05-30T00:00:00,1875,51077.38499999994,1476.7814500000006,1559
location_1,2021-05-31T00:00:00,1931,52777.82999999994,1330.9690499999992,1630
location_1,2021-06-01T00:00:00,2083,57091.564999999966,1571.1581499999995,1735
location_1,2021-06-02T00:00:00,2060,54538.859999999964,1454.9794499999991,1760
location_1,2021-06-03T00:00:00,2000,53712.264999999956,1367.8186499999986,1712
location_1,2021-06-04T00:00:00,1988,53177.17500000014,1409.7872000000013,1698
location_1,2021-06-05T00:00:00,2219,58882.63499999997,1598.7327999999998,1883
location_1,2021-06-06T00:00:00,2046,54517.714999999975,1450.0819500000005,1716
location_1,2021-06-07T00:00:00,2049,52542.55499999997,1392.7150999999994,1731
location_1,2021-06-08T00:00:00,1984,53416.11499999999,1222.6955500000001,1663
location_1,2021-06-09T00:00:00,2061,53322.88500000013,1475.0202499999991,1752
location_1,2021-06-10T00:00:00,2098,53969.82000000014,1288.5547500000014,1803
location_1,2021-06-11T00:00:00,1806,48424.74500000009,1390.0360000000005,1545
location_1,2021-06-12T00:00:00,1997,53891.28499999995,1291.8452999999993,1687
location_1,2021-06-13T00:00:00,2102,55414.06000000005,1395.5503,1798
location_1,2021-06-14T00:00:00,1928,51656.29500000002,1472.8340999999996,1594
