daily,daily_sessions,daily_baskets,daily_order_screens,daily_orders
2020-12-13,1233,1080,269,3
2020-12-14,11283,10544,6358,4840
2020-12-15,12767,11903,6772,5071
2020-12-16,11419,10567,5985,4410
2020-12-17,9112,8462,4844,3683
2020-12-18,11696,10843,5622,3896
2020-12-19,21678,20102,11048,7960
2020-12-20,15305,14374,8739,6827
2020-12-21,9939,9260,5295,3987
2020-12-22,10139,9395,5101,3689
2020-12-23,13021,12107,6870,5123
2020-12-24,10354,9666,5577,4177
2020-12-25,14144,13226,7164,5160
2020-12-26,17230,16061,9171,6904
2020-12-27,21338,20031,11876,9126
2020-12-28,8147,7697,4715,3774
2020-12-29,12438,11619,6717,5012
2020-12-30,12139,11185,6008,4192
2020-12-31,12678,11846,6958,5336
2021-01-01,12379,11468,5955,4203
2021-01-02,23173,21608,11941,8748
2021-01-03,17777,16751,10536,8497
2021-01-04,12399,11576,6372,4781
2021-01-05,12909,12070,6743,4895
2021-01-06,12358,11542,6836,5240
2021-01-07,14556,13457,7075,4995
2021-01-08,13482,12530,6741,4824
2021-01-09,17783,16657,9916,7595
2021-01-10,18809,17526,10006,7499
2021-01-11,9449,8782,4865,3585
2021-01-12,10975,10276,6046,4633
2021-01-13,10760,10127,5875,4474
2021-01-14,8491,7968,4750,3699
2021-01-15,15984,14782,7809,5457
2021-01-16,19935,18633,10807,8226
