daily,promotion_id,total_order_count,order_count,inorganic_ratio
2021-05-18T00:00:00,promo_1,1,1,1.0
2021-05-18T00:00:00,promo_11,1,1,1.0
2021-05-18T00:00:00,promo_16,1,1,1.0
2021-05-18T00:00:00,promo_59,1,1,1.0
2021-05-18T00:00:00,promo_78,1,1,1.0
2021-05-18T00:00:00,promo_86,1,1,1.0
2021-05-19T00:00:00,promo_0,9,9,1.0
2021-05-19T00:00:00,promo_1,8,8,1.0
2021-05-19T00:00:00,promo_10,9,9,1.0
2021-05-19T00:00:00,promo_11,6,6,1.0
2021-05-19T00:00:00,promo_12,20,20,1.0
2021-05-19T00:00:00,promo_13,8,8,1.0
2021-05-19T00:00:00,promo_14,10,10,1.0
2021-05-19T00:00:00,promo_15,13,13,1.0
2021-05-19T00:00:00,promo_16,16,16,1.0
2021-05-19T00:00:00,promo_17,9,9,1.0
2021-05-19T00:00:00,promo_18,11,11,1.0
2021-05-19T00:00:00,promo_19,3,3,1.0
2021-05-19T00:00:00,promo_2,7,7,1.0
2021-05-19T00:00:00,promo_20,20,20,1.0
2021-05-19T00:00:00,promo_21,10,10,1.0
2021-05-19T00:00:00,promo_22,11,11,1.0
2021-05-19T00:00:00,promo_23,5,5,1.0
2021-05-19T00:00:00,promo_24,6,6,1.0
2021-05-19T00:00:00,promo_25,12,12,1.0
2021-05-19T00:00:00,promo_26,6,6,1.0
2021-05-19T00:00:00,promo_27,10,10,1.0
2021-05-19T00:00:00,promo_28,14,14,1.0
2021-05-19T00:00:00,promo_29,3,3,1.0
2021-05-19T00:00:00,promo_3,10,10,1.0
2021-05-19T00:00:00,promo_30,12,12,1.0
2021-05-19T00:00:00,promo_31,17,17,1.0
2021-05-19T00:00:00,promo_32,9,9,1.0
2021-05-19T00:00:00,promo_33,9,9,1.0
2021-05-19T00:00:00,promo_34,1,1,1.0
2021-05-19T00:00:00,promo_35,6,6,1.0
2021-05-19T00:00:00,promo_36,12,12,1.0
2021-05-19T00:00:00,promo_37,10,10,1.0
2021-05-19T00:00:00,promo_38,20,20,1.0
2021-05-19T00:00:00,promo_39,15,15,1.0
2021-05-19T00:00:00,promo_4,8,8,1.0
2021-05-19T00:00:00,promo_40,4,4,1.0
2021-05-19T00:00:00,promo_41,10,10,1.0
2021-05-19T00:00:00,promo_42,5,5,1.0
2021-05-19T00:00:00,promo_43,8,8,1.0
2021-05-19T00:00:00,promo_44,10,10,1.0
2021-05-19T00:00:00,promo_45,10,10,1.0
2021-05-19T00:00:00,promo_46,15,15,1.0
2021-05-19T00:00:00,promo_47,4,4,1.0
2021-05-19T00:00:00,promo_48,12,12,1.0
2021-05-19T00:00:00,promo_49,13,13,1.0
2021-05-19T00:00:00,promo_5,8,8,1.0
2021-05-19T00:00:00,promo_50,9,9,1.0
2021-05-19T00:00:00,promo_51,17,17,1.0
2021-05-19T00:00:00,promo_52,11,11,1.0
2021-05-19T00:00:00,promo_53,8,8,1.0
2021-05-19T00:00:00,promo_54,5,5,1.0
2021-05-19T00:00:00,promo_55,14,14,1.0
