daily,products,payment_amount,order_count
2021-05-31,p_107,35.434999999999995,1
2021-05-31,p_11,35.434999999999995,1
2021-05-31,p_111,26.705,2
2021-05-31,p_112,36.910000000000004,1
2021-05-31,p_113,31.035,1
2021-05-31,p_115,17.395,1
2021-05-31,p_131,36.910000000000004,1
2021-05-31,p_132,63.99999999999999,1
2021-05-31,p_137,63.99999999999999,1
2021-05-31,p_149,35.434999999999995,1
2021-05-31,p_15,63.99999999999999,1
2021-05-31,p_150,63.99999999999999,1
2021-05-31,p_155,36.910000000000004,1
2021-05-31,p_165,18.755,1
2021-05-31,p_167,36.910000000000004,1
2021-05-31,p_169,31.035,1
2021-05-31,p_170,31.035,1
2021-05-31,p_174,18.755,1
2021-05-31,p_186,31.035,1
2021-05-31,p_187,9.309999999999999,1
2021-05-31,p_189,28.605,1
2021-05-31,p_196,36.910000000000004,1
2021-05-31,p_20,36.910000000000004,1
2021-05-31,p_22,28.605,1
2021-05-31,p_3,63.99999999999999,1
2021-05-31,p_33,9.309999999999999,1
2021-05-31,p_36,35.434999999999995,1
2021-05-31,p_4,35.434999999999995,1
2021-05-31,p_41,17.395,1
2021-05-31,p_43,28.605,1
2021-05-31,p_45,63.99999999999999,1
2021-05-31,p_53,28.605,1
2021-05-31,p_57,35.434999999999995,1
2021-05-31,p_58,35.434999999999995,1
2021-05-31,p_67,36.910000000000004,1
2021-05-31,p_68,18.755,1
2021-05-31,p_71,63.99999999999999,1
2021-05-31,p_73,18.755,1
2021-05-31,p_77,31.035,1
2021-05-31,p_8,35.434999999999995,1
2021-05-31,p_81,63.99999999999999,1
2021-05-31,p_82,31.035,1
2021-05-31,p_83,63.99999999999999,1
2021-05-31,p_89,63.99999999999999,1
2021-05-31,p_95,46.0,2
2021-05-31,p_97,18.755,1
2021-06-01,p_0,2712.805,85
2021-06-01,p_1,3141.2699999999995,94
2021-06-01,p_10,2882.5600000000004,84
2021-06-01,p_100,2323.45,67
2021-06-01,p_101,3425.994999999999,104
2021-06-01,p_102,2889.5099999999998,88
2021-06-01,p_103,2982.355,90
2021-06-01,p_104,2600.0750000000003,72
2021-06-01,p_105,2492.4100000000008,80
2021-06-01,p_106,3023.310000000001,88
2021-06-01,p_107,2475.504999999999,83
2021-06-01,p_108,2236.4749999999995,77
2021-06-01,p_109,3410.7,96
2021-06-01,p_11,3055.224999999999,89
2021-06-01,p_110,2514.8100000000004,75
2021-06-01,p_111,3275.369999999999,99
2021-06-01,p_112,3473.54,111
2021-06-01,p_113,2998.8400000000006,108
2021-06-01,p_114,2690.9300000000003,85
2021-06-01,p_115,3085.8250000000003,94
2021-06-01,p_116,2676.1699999999996,82
2021-06-01,p_117,2677.929999999999,79
2021-06-01,p_118,2797.9049999999997,84
2021-06-01,p_119,3152.9299999999994,95
2021-06-01,p_12,2451.6549999999993,90
2021-06-01,p_120,2824.32,91
2021-06-01,p_121,2383.645,88
2021-06-01,p_122,2852.5750000000003,91
2021-06-01,p_123,3182.645,100
2021-06-01,p_124,2881.9100000000003,94
2021-06-01,p_125,2634.3650000000002,82
2021-06-01,p_126,2896.2799999999997,87
2021-06-01,p_127,2443.0200000000004,80
2021-06-01,p_128,2862.92,93
2021-06-01,p_129,2943.5650000000005,85
2021-06-01,p_13,2557.4100000000003,89
2021-06-01,p_130,2478.8099999999995,81
2021-06-01,p_131,3282.234999999999,101
2021-06-01,p_132,3025.5999999999995,96
2021-06-01,p_133,2771.4199999999996,94
2021-06-01,p_134,2178.3099999999995,67
2021-06-01,p_135,2857.264999999999,89
2021-06-01,p_136,3078.5150000000012,88
2021-06-01,p_137,2705.2400000000007,85
2021-06-01,p_138,3493.11,100
2021-06-01,p_139,2759.705,84
2021-06-01,p_14,3227.8199999999997,93
2021-06-01,p_140,3095.155000000001,89
2021-06-01,p_141,2969.8749999999995,91
2021-06-01,p_142,2325.199999999998,85
2021-06-01,p_143,2586.105,76
2021-06-01,p_144,2581.8500000000004,81
2021-06-01,p_145,3083.069999999998,99
2021-06-01,p_146,3161.8500000000004,87
2021-06-01,p_147,2632.9449999999993,76
2021-06-01,p_148,3030.93,90
2021-06-01,p_149,2594.0100000000016,78
