diff_perc,daily,anomalities
0.8139648916347946,2021-05-21T00:00:00,no change
0.6573859242072699,2021-05-19T00:00:00,no change
-2.2524777254980477,2021-05-01T00:00:00,no change
-4.190871369294606,2021-05-04T00:00:00,no change
-3.846920470400638,2021-04-26T00:00:00,no change
-2.912621359223301,2021-04-16T00:00:00,no change
-4.115349954941424,2021-04-20T00:00:00,no change
-1.2822895372607321,2021-04-11T00:00:00,no change
-2.147637598641494,2021-04-14T00:00:00,no change
-2.251314093027869,2021-04-15T00:00:00,no change
-3.576982892690513,2021-04-02T00:00:00,no change
-0.5428054471002761,2021-04-04T00:00:00,no change
-2.4256113129726016,2021-04-05T00:00:00,no change
-3.561097256857855,2021-03-30T00:00:00,no change
0.7413425408753935,2021-03-31T00:00:00,no change
-0.22262699858328275,2021-04-01T00:00:00,no change
-0.42052144659377627,2021-03-19T00:00:00,no change
-2.8441617446615175,2021-03-20T00:00:00,no change
-2.4612579762989975,2021-03-21T00:00:00,no change
0.7558578987150416,2021-03-22T00:00:00,no change
-1.3060227379498262,2021-03-12T00:00:00,no change
-3.792378689573243,2021-03-13T00:00:00,no change
-2.774823552160882,2021-03-17T00:00:00,no change
-2.296211251435132,2021-03-18T00:00:00,no change
-8.47723704866562,2021-05-24T00:00:00,decrease
-15.335868187579214,2021-05-27T00:00:00,decrease
-5.719519641766741,2021-05-18T00:00:00,decrease
-64.74726158175058,2021-05-08T00:00:00,decrease
-36.20313429875025,2021-05-09T00:00:00,decrease
-11.895475819032761,2021-05-13T00:00:00,decrease
-5.214248838409913,2021-04-30T00:00:00,decrease
-9.87547060527078,2021-05-02T00:00:00,decrease
-4.634672695509197,2021-05-03T00:00:00,decrease
-5.355715427657874,2021-04-23T00:00:00,decrease
-5.930776426566885,2021-04-25T00:00:00,decrease
-5.583853916386353,2021-04-17T00:00:00,decrease
-4.403448595531659,2021-04-18T00:00:00,decrease
-7.035419699175158,2021-04-19T00:00:00,decrease
-4.9668208324954755,2021-04-21T00:00:00,decrease
-4.582749649789874,2021-04-22T00:00:00,decrease
-9.683586655195487,2021-04-09T00:00:00,decrease
-6.361226808027262,2021-04-10T00:00:00,decrease
-5.918642760748024,2021-04-12T00:00:00,decrease
-7.650379598987736,2021-04-13T00:00:00,decrease
-4.73628590642713,2021-04-03T00:00:00,decrease
-4.4435705859221395,2021-04-06T00:00:00,decrease
-5.407296351824088,2021-04-07T00:00:00,decrease
-7.032418952618454,2021-04-08T00:00:00,decrease
-4.648002174503941,2021-03-14T00:00:00,decrease
-7.748873977387627,2021-03-15T00:00:00,decrease
-15.509979857169016,2021-03-05T00:00:00,decrease
-17.324795446460335,2021-03-06T00:00:00,decrease
-17.08564876069507,2021-03-07T00:00:00,decrease
-17.725152493720845,2021-03-08T00:00:00,decrease
-12.759977515458123,2021-03-09T00:00:00,decrease
-10.876132930513595,2021-03-10T00:00:00,decrease
-15.593944459923842,2021-03-11T00:00:00,decrease
32.22260789077866,2021-05-22T00:00:00,increase
9.767034890079843,2021-05-23T00:00:00,increase
11.53057037340993,2021-05-25T00:00:00,increase
9.863945578231293,2021-05-26T00:00:00,increase
4.157549234135668,2021-05-14T00:00:00,increase
31.370436864153202,2021-05-15T00:00:00,increase
18.97276953730352,2021-05-16T00:00:00,increase
9.749924066011946,2021-05-17T00:00:00,increase
3.0743209630882498,2021-05-20T00:00:00,increase
22.778947368421054,2021-05-07T00:00:00,increase
14.978572175185533,2021-05-10T00:00:00,increase
12.574850299401197,2021-05-11T00:00:00,increase
10.291184682887915,2021-05-12T00:00:00,increase
14.273858921161827,2021-05-05T00:00:00,increase
17.676092544987146,2021-05-06T00:00:00,increase
1.3349038084020417,2021-04-24T00:00:00,increase
1.695620513887444,2021-04-27T00:00:00,increase
1.9672810105611929,2021-04-28T00:00:00,increase
5.651768121953749,2021-04-29T00:00:00,increase
2.7099236641221376,2021-03-26T00:00:00,increase
3.4996276991809383,2021-03-27T00:00:00,increase
5.703139513282556,2021-03-28T00:00:00,increase
3.853877785215645,2021-03-29T00:00:00,increase
8.976377952755906,2021-03-23T00:00:00,increase
5.596494722166899,2021-03-24T00:00:00,increase
7.3075036782736635,2021-03-25T00:00:00,increase
2.170989433237272,2021-03-16T00:00:00,increase
