hourly,hourly_purchased,hourly_has_sessions,hourly_download,hourly_signup
0,40.484375,86.93589743589743,263.68992248062017,67.35616438356165
1,54.58461538461538,116.33766233766234,278.1374045801527,88.45333333333333
2,52.52307692307692,119.52564102564102,312.2076923076923,93.77333333333333
3,55.01538461538462,126.25974025974025,331.69172932330827,96.02631578947368
4,52.76923076923077,131.19736842105263,328.965034965035,98.86842105263158
5,53.36923076923077,134.64935064935065,387.46923076923076,106.28
6,52.84615384615385,140.89743589743588,417.7218045112782,112.38157894736842
7,58.23076923076923,159.0253164556962,445.74242424242425,125.64935064935065
8,94.96875,229.64473684210526,434.8175182481752,199.16883116883116
9,166.0,347.32894736842104,422.8222222222222,318.2857142857143
10,166.296875,354.72972972972974,392.0652173913044,322.0921052631579
11,165.96875,350.0,392.70454545454544,311.8181818181818
12,163.859375,345.8493150684931,354.9618320610687,302.4025974025974
13,165.921875,351.5,320.02222222222224,303.0779220779221
14,168.84375,351.3611111111111,290.09558823529414,299.5974025974026
15,168.828125,357.6,279.03731343283584,303.0
16,211.671875,452.4,257.7175572519084,396.6578947368421
17,225.40625,477.24285714285713,243.62222222222223,407.8421052631579
18,356.40625,699.5277777777778,244.27067669172934,628.025974025974
19,353.015625,690.3698630136986,247.17777777777778,637.0657894736842
20,350.03125,679.1756756756756,251.1969696969697,632.671052631579
21,353.5,663.9736842105264,247.43283582089552,637.0526315789474
22,352.890625,619.0897435897435,238.71532846715328,607.8157894736842
23,304.90909090909093,556.6962025316456,256.86614173228344,567.5921052631579
