hourly,promotion_id,total_order_count,order_count,inorganic_ratio
0,promo_0,9,9,1.0
0,promo_1,8,8,1.0
0,promo_10,19,19,1.0
0,promo_11,15,15,1.0
0,promo_12,16,16,1.0
0,promo_13,20,20,1.0
0,promo_14,13,13,1.0
0,promo_15,24,24,1.0
0,promo_16,18,18,1.0
0,promo_17,7,7,1.0
0,promo_18,16,16,1.0
0,promo_19,5,5,1.0
0,promo_2,10,10,1.0
0,promo_20,15,15,1.0
0,promo_21,8,8,1.0
0,promo_22,17,17,1.0
0,promo_23,6,6,1.0
0,promo_24,13,13,1.0
0,promo_25,11,11,1.0
0,promo_26,3,3,1.0
0,promo_27,15,15,1.0
0,promo_28,18,18,1.0
0,promo_29,10,10,1.0
0,promo_3,32,32,1.0
0,promo_30,31,31,1.0
0,promo_31,21,21,1.0
0,promo_32,10,10,1.0
0,promo_33,9,9,1.0
0,promo_34,7,7,1.0
0,promo_35,6,6,1.0
0,promo_36,13,13,1.0
0,promo_37,13,13,1.0
0,promo_38,13,13,1.0
0,promo_39,25,25,1.0
0,promo_4,15,15,1.0
0,promo_40,7,7,1.0
0,promo_41,12,12,1.0
0,promo_42,14,14,1.0
0,promo_43,8,8,1.0
0,promo_44,11,11,1.0
0,promo_45,11,11,1.0
0,promo_46,26,26,1.0
0,promo_47,3,3,1.0
0,promo_48,22,22,1.0
0,promo_49,8,8,1.0
0,promo_5,8,8,1.0
0,promo_50,11,11,1.0
0,promo_51,12,12,1.0
0,promo_52,16,16,1.0
0,promo_53,24,24,1.0
0,promo_54,8,8,1.0
0,promo_55,14,14,1.0
0,promo_56,16,16,1.0
0,promo_57,18,18,1.0
0,promo_58,6,6,1.0
0,promo_59,22,22,1.0
0,promo_6,9,9,1.0
0,promo_60,10,10,1.0
0,promo_61,9,9,1.0
0,promo_63,12,12,1.0
0,promo_64,16,16,1.0
0,promo_65,16,16,1.0
0,promo_66,13,13,1.0
0,promo_67,15,15,1.0
0,promo_68,22,22,1.0
0,promo_69,8,8,1.0
0,promo_7,7,7,1.0
0,promo_70,6,6,1.0
0,promo_71,26,26,1.0
0,promo_72,19,19,1.0
0,promo_73,15,15,1.0
0,promo_74,16,16,1.0
0,promo_75,15,15,1.0
0,promo_76,25,25,1.0
0,promo_77,10,10,1.0
0,promo_78,16,16,1.0
0,promo_79,4,4,1.0
0,promo_8,11,11,1.0
0,promo_80,16,16,1.0
0,promo_81,9,9,1.0
0,promo_82,12,12,1.0
0,promo_83,24,24,1.0
0,promo_84,17,17,1.0
0,promo_85,18,18,1.0
0,promo_86,4,4,1.0
0,promo_87,7,7,1.0
0,promo_88,21,21,1.0
0,promo_9,7,7,1.0
0,promo_90,15,15,1.0
0,promo_91,22,22,1.0
0,promo_92,19,19,1.0
0,promo_93,5,5,1.0
0,promo_94,19,19,1.0
0,promo_95,15,15,1.0
0,promo_96,21,21,1.0
0,promo_97,10,10,1.0
0,promo_98,17,17,1.0
0,promo_99,9,9,1.0
1,promo_0,13,13,1.0
1,promo_1,15,15,1.0
1,promo_10,29,29,1.0
1,promo_11,30,30,1.0
1,promo_12,22,22,1.0
1,promo_13,12,12,1.0
1,promo_14,22,22,1.0
1,promo_15,27,27,1.0
1,promo_16,13,13,1.0
1,promo_17,16,16,1.0
1,promo_18,24,24,1.0
1,promo_19,4,4,1.0
1,promo_2,10,10,1.0
1,promo_20,22,22,1.0
1,promo_21,12,12,1.0
1,promo_22,22,22,1.0
1,promo_23,10,10,1.0
1,promo_24,15,15,1.0
1,promo_25,17,17,1.0
1,promo_26,9,9,1.0
1,promo_27,14,14,1.0
1,promo_28,25,25,1.0
1,promo_29,8,8,1.0
1,promo_3,23,23,1.0
1,promo_30,23,23,1.0
1,promo_31,34,34,1.0
1,promo_32,6,6,1.0
1,promo_33,21,21,1.0
1,promo_34,10,10,1.0
1,promo_35,14,14,1.0
1,promo_36,11,11,1.0
1,promo_37,14,14,1.0
1,promo_38,22,22,1.0
1,promo_39,25,25,1.0
1,promo_4,18,18,1.0
1,promo_40,17,17,1.0
1,promo_41,20,20,1.0
1,promo_42,23,23,1.0
1,promo_43,11,11,1.0
1,promo_44,13,13,1.0
1,promo_45,13,13,1.0
1,promo_46,32,32,1.0
1,promo_47,8,8,1.0
1,promo_48,10,10,1.0
1,promo_49,12,12,1.0
1,promo_5,6,6,1.0
1,promo_50,14,14,1.0
1,promo_51,27,27,1.0
1,promo_52,23,23,1.0
1,promo_53,26,26,1.0
1,promo_54,19,19,1.0
1,promo_55,21,21,1.0
1,promo_56,17,17,1.0
1,promo_57,14,14,1.0
1,promo_58,2,2,1.0
1,promo_59,25,25,1.0
1,promo_6,19,19,1.0
1,promo_60,11,11,1.0
