hourly,promotion_id,order_count
0,promo_0,9
0,promo_1,8
0,promo_10,19
0,promo_11,15
0,promo_12,16
0,promo_13,20
0,promo_14,13
0,promo_15,24
0,promo_16,18
0,promo_17,7
0,promo_18,16
0,promo_19,5
0,promo_2,10
0,promo_20,15
0,promo_21,8
0,promo_22,17
0,promo_23,6
0,promo_24,13
0,promo_25,11
0,promo_26,3
0,promo_27,15
0,promo_28,18
0,promo_29,10
0,promo_3,32
0,promo_30,31
0,promo_31,21
0,promo_32,10
0,promo_33,9
0,promo_34,7
0,promo_35,6
0,promo_36,13
0,promo_37,13
0,promo_38,13
0,promo_39,25
0,promo_4,15
0,promo_40,7
0,promo_41,12
0,promo_42,14
0,promo_43,8
0,promo_44,11
0,promo_45,11
0,promo_46,26
0,promo_47,3
0,promo_48,22
0,promo_49,8
0,promo_5,8
0,promo_50,11
0,promo_51,12
0,promo_52,16
0,promo_53,24
0,promo_54,8
0,promo_55,14
0,promo_56,16
0,promo_57,18
0,promo_58,6
0,promo_59,22
0,promo_6,9
0,promo_60,10
0,promo_61,9
0,promo_63,12
0,promo_64,16
0,promo_65,16
0,promo_66,13
0,promo_67,15
0,promo_68,22
0,promo_69,8
0,promo_7,7
0,promo_70,6
0,promo_71,26
0,promo_72,19
0,promo_73,15
0,promo_74,16
0,promo_75,15
0,promo_76,25
0,promo_77,10
0,promo_78,16
0,promo_79,4
0,promo_8,11
0,promo_80,16
0,promo_81,9
0,promo_82,12
0,promo_83,24
0,promo_84,17
0,promo_85,18
0,promo_86,4
0,promo_87,7
0,promo_88,21
0,promo_9,7
0,promo_90,15
0,promo_91,22
0,promo_92,19
0,promo_93,5
0,promo_94,19
0,promo_95,15
0,promo_96,21
0,promo_97,10
0,promo_98,17
0,promo_99,9
1,promo_0,13
1,promo_1,15
1,promo_10,29
1,promo_11,30
1,promo_12,22
1,promo_13,12
1,promo_14,22
1,promo_15,27
1,promo_16,13
1,promo_17,16
1,promo_18,24
1,promo_19,4
1,promo_2,10
1,promo_20,22
1,promo_21,12
1,promo_22,22
1,promo_23,10
1,promo_24,15
1,promo_25,17
1,promo_26,9
1,promo_27,14
1,promo_28,25
1,promo_29,8
1,promo_3,23
1,promo_30,23
1,promo_31,34
1,promo_32,6
1,promo_33,21
1,promo_34,10
1,promo_35,14
1,promo_36,11
1,promo_37,14
1,promo_38,22
1,promo_39,25
1,promo_4,18
1,promo_40,17
1,promo_41,20
1,promo_42,23
1,promo_43,11
1,promo_44,13
1,promo_45,13
1,promo_46,32
1,promo_47,8
1,promo_48,10
1,promo_49,12
1,promo_5,6
1,promo_50,14
1,promo_51,27
1,promo_52,23
1,promo_53,26
1,promo_54,19
1,promo_55,21
1,promo_56,17
1,promo_57,14
1,promo_58,2
1,promo_59,25
1,promo_6,19
1,promo_60,11
1,promo_61,10
1,promo_63,20
1,promo_64,21
1,promo_65,21
1,promo_66,9
1,promo_67,11
1,promo_68,33
1,promo_69,17
1,promo_7,8
1,promo_70,16
1,promo_71,18
1,promo_72,15
1,promo_73,25
1,promo_74,18
1,promo_75,13
1,promo_76,26
1,promo_77,18
1,promo_78,29
1,promo_79,7
1,promo_8,5
1,promo_80,19
1,promo_81,14
1,promo_82,15
1,promo_83,27
1,promo_84,19
1,promo_85,19
1,promo_86,14
1,promo_87,14
1,promo_88,29
1,promo_9,8
1,promo_90,30
1,promo_91,28
1,promo_92,28
1,promo_93,7
1,promo_94,26
1,promo_95,18
1,promo_96,23
1,promo_97,14
1,promo_98,35
1,promo_99,12
2,promo_0,13
2,promo_1,18
2,promo_10,24
2,promo_11,32
2,promo_12,25
2,promo_13,25
2,promo_14,15
2,promo_15,23
2,promo_16,35
2,promo_17,17
2,promo_18,21
2,promo_19,8
2,promo_2,8
2,promo_20,20
2,promo_21,29
2,promo_22,21
2,promo_23,6
2,promo_24,13
2,promo_25,19
2,promo_26,8
2,promo_27,10
2,promo_28,39
2,promo_29,6
2,promo_3,31
2,promo_30,21
2,promo_31,26
2,promo_32,4
2,promo_33,18
2,promo_34,10
2,promo_35,15
2,promo_36,23
2,promo_37,19
2,promo_38,20
2,promo_39,28
2,promo_4,19
2,promo_40,20
2,promo_41,29
2,promo_42,8
2,promo_43,15
2,promo_44,16
2,promo_45,20
2,promo_46,30
2,promo_47,8
2,promo_48,24
2,promo_49,17
2,promo_5,8
2,promo_50,24
2,promo_51,19
2,promo_52,16
2,promo_53,36
2,promo_54,20
2,promo_55,33
2,promo_56,25
2,promo_57,17
2,promo_58,11
2,promo_59,25
2,promo_6,16
2,promo_60,14
2,promo_61,9
2,promo_63,23
2,promo_64,16
2,promo_65,31
2,promo_66,15
2,promo_67,16
2,promo_68,17
2,promo_69,16
2,promo_7,11
2,promo_70,10
2,promo_71,22
2,promo_72,18
2,promo_73,36
2,promo_74,18
2,promo_75,11
2,promo_76,22
2,promo_77,10
2,promo_78,32
2,promo_79,6
2,promo_8,7
2,promo_80,31
2,promo_81,26
2,promo_82,12
2,promo_83,33
2,promo_84,15
2,promo_85,35
2,promo_86,16
2,promo_87,9
2,promo_88,16
2,promo_9,7
2,promo_90,28
2,promo_91,31
2,promo_92,13
2,promo_93,5
2,promo_94,28
2,promo_95,25
2,promo_96,24
2,promo_97,10
2,promo_98,27
2,promo_99,5
3,promo_0,21
3,promo_1,12
3,promo_10,27
3,promo_11,28
3,promo_12,30
3,promo_13,11
3,promo_14,22
3,promo_15,31
3,promo_16,30
3,promo_17,21
3,promo_18,17
3,promo_19,5
3,promo_2,10
3,promo_20,19
3,promo_21,17
3,promo_22,24
3,promo_23,13
3,promo_24,17
3,promo_25,17
3,promo_26,13
3,promo_27,14
3,promo_28,28
3,promo_29,10
3,promo_3,33
3,promo_30,25
3,promo_31,31
3,promo_32,11
3,promo_33,23
3,promo_34,8
3,promo_35,22
3,promo_36,22
3,promo_37,19
3,promo_38,31
3,promo_39,26
3,promo_4,18
3,promo_40,20
3,promo_41,25
3,promo_42,18
3,promo_43,24
3,promo_44,19
3,promo_45,14
3,promo_46,30
3,promo_47,9
3,promo_48,25
3,promo_49,20
3,promo_5,11
3,promo_50,15
3,promo_51,27
3,promo_52,10
3,promo_53,23
3,promo_54,15
3,promo_55,30
3,promo_56,18
3,promo_57,25
3,promo_58,9
3,promo_59,17
3,promo_6,11
3,promo_60,28
3,promo_61,8
3,promo_63,15
3,promo_64,11
3,promo_65,23
3,promo_66,14
3,promo_67,17
3,promo_68,26
3,promo_69,14
3,promo_7,10
3,promo_70,10
3,promo_71,28
3,promo_72,22
3,promo_73,21
3,promo_74,17
3,promo_75,16
3,promo_76,35
3,promo_77,24
3,promo_78,26
3,promo_79,5
3,promo_8,11
3,promo_80,17
3,promo_81,17
3,promo_82,18
3,promo_83,29
3,promo_84,20
3,promo_85,17
3,promo_86,4
3,promo_87,10
3,promo_88,18
3,promo_9,5
3,promo_90,35
3,promo_91,26
3,promo_92,21
