monetary,frequency,segments_numeric
45.17,726.0,11.0
37.51,2108.0,3.0
28.15,505.0,1.0
18.642500000000002,400.0,1.0
19.905,1815.0,11.0
40.64,517.0,2.0
38.78,467.0,10.0
29.057499999999997,326.0,7.0
35.412499999999994,801.0,5.0
37.02,600.0,2.0
33.915,557.0,2.0
29.08,757.0,
34.644999999999996,173.0,11.0
29.035,647.0,1.0
43.2,1585.0,4.0
16.427500000000002,2080.0,11.0
23.0375,964.0,1.0
30.2375,642.0,7.0
25.54,954.0,1.0
42.2375,1957.0,3.0
35.16,1616.0,
31.295,901.0,5.0
26.987499999999997,1964.0,3.0
38.572500000000005,1694.0,
44.5225,1631.0,3.0
20.085,11.0,1.0
25.675,1052.0,1.0
30.854999999999997,1303.0,3.0
30.4375,1027.0,1.0
46.355000000000004,1075.0,11.0
31.028333333333336,627.0,1.0
26.339999999999996,1004.0,2.0
41.9875,996.0,11.0
24.375,555.0,1.0
46.2625,91.0,11.0
27.96,1394.0,11.0
28.665,39.0,10.0
14.807500000000001,624.0,10.0
32.0325,275.0,1.0
50.275000000000006,1178.0,11.0
16.975,246.0,7.0
25.07,1636.0,11.0
36.739999999999995,552.0,2.0
22.674999999999997,793.0,1.0
40.815,1001.0,2.0
42.045,601.0,10.0
32.35,1544.0,5.0
25.682499999999997,375.0,1.0
38.667500000000004,1850.0,3.0
30.150000000000002,466.0,10.0
25.1175,275.0,1.0
30.975,722.0,5.0
31.0875,1576.0,3.0
38.605000000000004,527.0,2.0
35.1125,1534.0,3.0
55.917500000000004,985.0,11.0
39.595,374.0,10.0
23.765,45.0,1.0
28.1625,1321.0,11.0
19.674999999999997,60.0,1.0
36.4225,1039.0,2.0
33.7025,573.0,11.0
13.2475,436.0,1.0
32.58,797.0,1.0
17.065,151.0,0.0
22.59,827.0,1.0
33.94,1055.0,2.0
26.14,361.0,1.0
28.4725,393.0,
21.2675,2211.0,3.0
20.22,318.0,1.0
33.2525,744.0,
21.93,558.0,1.0
29.0625,396.0,7.0
30.425,1520.0,5.0
25.1525,1709.0,11.0
37.5325,1889.0,3.0
27.325000000000003,271.0,1.0
24.585,417.0,1.0
40.1725,21.0,10.0
28.474999999999998,749.0,1.0
27.775,47.0,1.0
34.2675,1158.0,2.0
35.015,681.0,2.0
16.735,974.0,1.0
31.037499999999998,647.0,1.0
29.0,910.0,1.0
35.89,150.0,10.0
13.677499999999998,247.0,1.0
20.5475,821.0,1.0
27.87,216.0,7.0
20.21,444.0,1.0
27.7,1095.0,1.0
42.3225,742.0,11.0
39.2425,192.0,10.0
28.095000000000002,1971.0,11.0
40.225,1465.0,3.0
32.93333333333333,1125.0,1.0
17.994999999999997,1988.0,3.0
37.8325,287.0,
12.287500000000001,267.0,1.0
31.2375,736.0,1.0
30.6675,333.0,7.0
41.8625,460.0,11.0
39.317499999999995,1907.0,3.0
34.67,1046.0,2.0
25.23,1707.0,3.0
30.5125,385.0,1.0
21.79,315.0,1.0
29.705,170.0,1.0
21.225,198.0,1.0
43.557500000000005,1136.0,11.0
35.71,2124.0,
27.8475,111.0,1.0
34.545,273.0,11.0
32.4275,115.0,1.0
41.225,817.0,2.0
10.6475,143.0,1.0
16.955,1119.0,1.0
23.85,1276.0,11.0
22.525,1033.0,1.0
15.875,370.0,1.0
29.619999999999997,1606.0,
28.259999999999998,1205.0,3.0
13.3475,54.0,7.0
33.7625,379.0,11.0
37.1525,1206.0,
23.8275,64.0,1.0
51.8675,192.0,10.0
45.0275,1703.0,3.0
43.66,509.0,11.0
24.405,1909.0,11.0
19.534999999999997,514.0,1.0
29.177500000000002,58.0,1.0
34.7175,731.0,2.0
26.725,1595.0,11.0
33.26,176.0,1.0
40.11,1347.0,2.0
27.8375,296.0,1.0
25.805,1280.0,
21.43,962.0,1.0
30.299999999999997,194.0,1.0
29.18,2567.0,
29.575,785.0,1.0
35.072500000000005,654.0,2.0
39.18,393.0,2.0
26.335,29.0,10.0
46.620000000000005,1594.0,3.0
27.975,1806.0,11.0
26.2825,219.0,3.0
25.96,1146.0,1.0
35.685,1790.0,4.0
22.130000000000003,951.0,1.0
37.645,1808.0,
35.39,742.0,2.0
36.807500000000005,413.0,1.0
12.6275,983.0,1.0
37.7575,2303.0,3.0
27.535000000000004,44.0,1.0
36.3225,1269.0,3.0
11.7525,94.0,1.0
26.5775,629.0,2.0
24.677500000000002,1631.0,11.0
23.424999999999997,75.0,1.0
31.115000000000002,552.0,10.0
30.64,916.0,1.0
28.8825,381.0,
40.7075,841.0,2.0
29.5325,976.0,1.0
28.93,1289.0,11.0
28.915,1008.0,1.0
38.565,445.0,10.0
14.647499999999999,1411.0,11.0
23.9775,635.0,10.0
28.0875,182.0,10.0
44.885000000000005,654.0,11.0
27.57,660.0,7.0
15.622499999999999,1110.0,1.0
25.5425,216.0,10.0
29.332500000000003,558.0,2.0
16.1625,272.0,0.0
35.0225,1240.0,1.0
31.1175,51.0,10.0
35.962500000000006,289.0,2.0
34.699999999999996,417.0,11.0
32.504999999999995,2157.0,11.0
46.7025,986.0,11.0
15.7375,1679.0,11.0
37.435,267.0,10.0
30.5,780.0,5.0
23.549999999999997,723.0,7.0
26.005000000000003,92.0,1.0
38.69,2137.0,3.0
23.3325,695.0,7.0
33.125,446.0,10.0
29.634999999999998,1371.0,
19.325000000000003,1188.0,11.0
36.595,502.0,11.0
39.942499999999995,114.0,2.0
28.815,1138.0,1.0
32.24,414.0,1.0
20.575,435.0,10.0
25.715,753.0,7.0
28.3,348.0,1.0
28.5225,387.0,10.0
51.075,468.0,11.0
24.2675,1711.0,
35.260000000000005,1553.0,4.0
27.5075,568.0,1.0
37.0,95.0,2.0
17.3575,135.0,
30.267500000000002,827.0,1.0
28.2175,277.0,10.0
43.3225,980.0,11.0
25.9375,1162.0,1.0
31.5325,839.0,1.0
23.57,544.0,
34.376666666666665,303.5,10.0
31.5925,1823.0,3.0
23.535,2301.0,3.0
24.625,292.0,1.0
40.345,667.0,2.0
16.857499999999998,1322.0,11.0
15.399999999999999,2494.0,3.0
13.4325,588.0,1.0
15.7775,17.0,8.0
23.4575,1048.0,1.0
22.6075,174.0,10.0
35.7175,97.0,2.0
22.9025,526.0,10.0
29.669999999999998,448.0,7.0
32.2175,984.0,1.0
23.027500000000003,953.0,1.0
33.485,1328.0,5.0
17.895,69.0,0.0
37.0975,270.0,2.0
31.752499999999998,464.0,1.0
40.18,653.0,2.0
22.46,630.0,
