client,latitude,longitude,prepare
u_490253,40.9655559,29.0710524,0.5166666666666667
u_575256,41.0032897,29.04264,4.05
u_u_1800370,40.9845593,29.0397726,0.55
u_63163,41.0029712,29.0442676,2.966666666666667
u_u_1416823,41.0053654,29.0427317,5.533333333333333
u_687851,40.9852525,29.0615369,0.85
u_u_1225888,41.0071856,29.0402062,6.833333333333333
u_982555,41.0071856,29.0402062,1.9333333333333333
u_u_1226600,41.0053654,29.0427317,8.441666666666666
u_u_1260585,41.0053654,29.0427317,5.183333333333334
u_647683,41.0053654,29.0427317,6.766666666666667
u_67121,40.9864484,29.07219,2.3833333333333333
u_17402,40.9864484,29.07219,4.8
u_u_1236718,40.9875801,29.0285248,1.6666666666666667
u_423088,40.9853634,29.0376462,1.45
u_518396,40.9841625,29.0401662,0.7166666666666667
u_577435,41.0032897,29.04264,1.7833333333333334
u_u_1853560,41.0071856,29.0402062,1.0833333333333335
u_3578,40.9886221,29.0267308,1.0833333333333333
u_u_1353045,40.9885967,29.0311022,2.075
u_u_1268521,40.9977377,29.0387159,3.1333333333333333
u_u_1606288,41.0029712,29.0442676,1.2333333333333334
u_u_1436842,40.9864484,29.07219,0.23333333333333334
u_420668,41.0071856,29.0402062,0.45
u_u_1878681,40.9816288,29.0413568,3.7777777777777772
u_776173,41.0029712,29.0442676,0.2
u_u_1406152,40.9833243,29.0237359,2.216666666666667
u_u_1705123,40.9852525,29.0615369,0.05
u_u_1831026,40.9882874,29.0319396,1.9
u_u_1056662,40.9864484,29.07219,4.325
u_u_1954634,40.9916207,29.0319878,0.3833333333333333
u_u_1820207,41.0053654,29.0427317,7.2
u_u_1585600,40.9874691,29.0270888,2.4833333333333334
u_449560,40.9874691,29.0270888,1.7833333333333334
u_909846,40.9857239,29.0261811,1.3
u_u_1489402,40.9916207,29.0319878,2.433333333333333
u_u_1805323,40.9852525,29.0615369,3.2333333333333334
u_u_1481776,41.0029712,29.0442676,2.75
u_367894,41.0032897,29.04264,1.3833333333333333
u_594046,40.9932725,29.0287855,2.1166666666666667
u_u_1262269,41.0053654,29.0427317,6.375
u_294416,41.0029712,29.0442676,4.1
u_u_1856976,40.9932034,29.0266147,0.9666666666666667
u_u_1074098,41.0029712,29.0442676,2.6166666666666667
u_u_1508367,41.0029712,29.0442676,2.5166666666666666
u_602899,40.9864484,29.07219,2.966666666666667
u_195354,41.0086187,29.0406752,2.158333333333333
u_434366,40.9846415,29.0696609,4.583333333333333
u_u_1340528,40.9840486,29.0232468,0.9666666666666667
u_786577,41.0053654,29.0427317,0.75
u_544549,40.9845593,29.0397726,2.466666666666667
u_u_1226902,41.0071856,29.0402062,4.083333333333333
u_u_1616644,40.9892902,29.0288784,4.333333333333333
u_877970,41.0053654,29.0427317,6.8
u_u_1944018,40.9846415,29.0696609,6.233333333333333
u_u_1892082,41.0071856,29.0402062,3.483333333333333
u_u_1734373,40.9926262,29.0321588,4.066666666666666
u_341814,40.9864484,29.07219,0.5166666666666667
u_802384,40.9864484,29.07219,0.16666666666666666
u_648686,40.9840674,29.0588391,1.5
u_u_1695046,41.0071856,29.0402062,1.5333333333333334
u_764299,41.0029712,29.0442676,0.5166666666666667
u_115473,40.9840486,29.0232468,2.6
u_697331,40.9656522,29.0602052,2.1
u_874543,41.0029712,29.0442676,0.35
u_u_1931832,41.0029712,29.0442676,3.8333333333333335
u_480377,41.0053654,29.0427317,1.8166666666666667
u_27792,40.9977377,29.0387159,2.6333333333333333
u_982990,41.0032897,29.04264,1.9333333333333333
u_u_1398310,41.0086187,29.0406752,3.9333333333333336
u_u_1339714,41.0053654,29.0427317,4.133333333333334
u_u_1802240,41.0053654,29.0427317,3.0
u_u_1339017,41.0053654,29.0427317,2.45
u_u_1927276,40.9655559,29.0710524,2.4833333333333334
u_687950,40.9923708,29.0276226,1.2166666666666666
u_u_1583758,41.0044356,29.0442313,3.65
u_132573,40.9840674,29.0588391,2.566666666666667
u_u_1361771,40.9932034,29.0266147,1.25
u_834143,40.9926262,29.0321588,0.2
u_274812,40.986702,29.0704593,3.283333333333333
u_85573,40.9872918,29.0705068,4.716666666666667
u_u_1183332,40.9985018,29.0377396,3.1333333333333333
u_u_1904723,41.0053654,29.0427317,4.35
u_u_1372837,40.9842535,29.0431925,1.9833333333333334
u_7431,40.9842535,29.0431925,1.8
u_u_1778978,40.9864484,29.07219,3.8833333333333333
u_u_1585629,41.0029712,29.0442676,5.183333333333334
u_u_1746197,41.0029712,29.0442676,1.5333333333333334
u_u_1761115,41.0029712,29.0442676,3.066666666666667
u_u_1016802,40.9852525,29.0615369,1.1833333333333333
u_455537,41.0029712,29.0442676,0.55
u_u_1803101,40.9864484,29.07219,1.5916666666666666
u_u_1183441,41.0029712,29.0442676,5.033333333333333
u_30677,40.9652435,29.0572266,0.4666666666666667
u_53590,40.9656522,29.0602052,0.85
u_501228,41.0029712,29.0442676,1.4333333333333333
u_u_1314661,41.0029712,29.0442676,1.95
u_793592,40.9846415,29.0696609,3.033333333333333
u_u_1953713,40.9652435,29.0572266,1.85
u_u_1309163,40.9840486,29.0232468,1.4833333333333334
u_907294,41.0061584,29.0409134,5.066666666666666
u_285675,40.9845593,29.0397726,0.7333333333333333
u_u_1808681,41.0032897,29.04264,6.716666666666667
u_692995,40.9864484,29.07219,3.433333333333333
u_548822,40.9846415,29.0696609,0.4666666666666667
u_917798,40.9864484,29.07219,6.4
u_431993,40.9864484,29.07219,8.066666666666666
u_u_1925117,40.9862176,29.0280159,0.8
u_u_1924016,41.0053654,29.0427317,0.55
u_u_1674357,41.0029712,29.0442676,1.0166666666666666
u_u_1780291,41.0032897,29.04264,3.066666666666667
u_u_1166442,40.9846415,29.0696609,0.7
u_u_1076880,41.0029712,29.0442676,3.7666666666666666
u_61941,41.0071856,29.0402062,0.7666666666666667
u_u_1223351,41.0052838,29.044233,5.816666666666666
u_u_1149202,40.9839057,29.0276192,1.7583333333333333
u_u_1861993,41.0029712,29.0442676,1.2333333333333334
u_u_1732636,40.9864484,29.07219,1.3
u_148396,41.0071856,29.0402062,2.4
u_757774,40.9846415,29.0696609,4.55
u_u_1877095,41.0029712,29.0442676,1.3333333333333333
u_692740,40.9977377,29.0387159,2.3
u_u_1613109,40.9916207,29.0319878,6.266666666666667
u_u_1550583,41.0071856,29.0402062,1.0666666666666667
u_232426,41.0053654,29.0427317,2.8666666666666667
u_u_1172461,40.9848937,29.0221986,6.433333333333334
u_u_1897020,41.0029712,29.0442676,0.3333333333333333
u_u_1180909,40.9852525,29.0615369,0.55
u_6753,40.986702,29.0704593,3.5833333333333335
u_u_1471115,41.0029712,29.0442676,3.5166666666666666
u_u_1350600,40.9977377,29.0387159,3.175
u_u_1571070,40.9654952,29.069517,4.083333333333333
u_591811,41.0071856,29.0402062,0.15
u_600991,41.0071856,29.0402062,0.016666666666666666
u_u_1752122,41.0071856,29.0402062,1.2166666666666666
u_u_1180862,41.0029712,29.0442676,5.333333333333333
u_331217,40.9839057,29.0276192,1.2666666666666666
u_625343,41.0053654,29.0427317,2.7
u_520843,41.0071856,29.0402062,1.9333333333333333
u_u_1048137,41.0053654,29.0427317,0.8166666666666667
u_228252,40.9864484,29.07219,1.5
u_556086,41.0053654,29.0427317,1.5833333333333333
u_u_1119906,40.987568,29.0605601,3.4166666666666665
u_u_1920191,41.008304,29.0400169,0.16666666666666666
u_484575,40.987573,29.0583161,3.0
u_928979,41.0029712,29.0442676,2.1666666666666665
u_248819,40.9656997,29.060088,0.5
u_u_1818560,41.0053654,29.0427317,1.0166666666666666
u_671825,41.0071856,29.0402062,1.5
u_672856,40.9846415,29.0696609,0.2833333333333333
u_882288,41.0053654,29.0427317,0.6333333333333333
u_294994,40.9916207,29.0319878,1.4833333333333334
u_653927,41.0029712,29.0442676,0.7666666666666667
u_u_1348048,40.9655559,29.0710524,0.8833333333333333
u_u_1223779,41.0053654,29.0427317,3.683333333333333
u_937357,40.9977377,29.0387159,1.2833333333333334
u_u_1481079,41.0081906,29.0402053,0.4166666666666667
u_109182,41.0071856,29.0402062,4.15
u_u_1513816,40.987573,29.0583161,2.45
u_363779,40.9864484,29.07219,0.95
u_715638,40.9875059,29.0609668,4.216666666666667
u_853524,40.9862579,29.0254396,5.983333333333333
u_u_1829203,41.0071856,29.0402062,2.55
u_796435,40.9842535,29.0431925,2.0166666666666666
u_838967,41.0053654,29.0427317,3.25
u_u_1230448,40.9840674,29.0588391,4.533333333333333
u_u_1960613,41.0071856,29.0402062,2.4166666666666665
u_973535,41.0071856,29.0402062,7.083333333333333
u_u_1488275,40.9965053,29.035801,0.7166666666666667
u_362319,41.0053654,29.0427317,3.1666666666666665
u_24542,41.0029712,29.0442676,5.566666666666666
u_u_1422113,41.0061584,29.0409134,2.0833333333333335
u_u_1736195,41.0053654,29.0427317,8.533333333333333
u_710693,40.9875059,29.0609668,0.5833333333333334
u_u_1133736,41.0053654,29.0427317,3.3333333333333335
u_232965,40.9964957,29.0361216,0.8
u_791798,40.9657733,29.0599085,0.9
u_510624,40.9886982,29.0690417,6.366666666666666
u_852860,41.0029712,29.0442676,4.933333333333334
u_u_1978748,40.9842535,29.0431925,3.5833333333333335
u_764116,41.0053654,29.0427317,4.283333333333333
u_887474,41.0029712,29.0442676,1.1833333333333333
u_339192,40.9842535,29.0431925,1.3333333333333333
u_392158,40.9842535,29.0431925,0.8333333333333334
u_u_1332447,40.9655559,29.0710524,0.18333333333333332
