pickup_id,latitude,longitude,prepare
rest_910,41.0081906,29.0402053,2.2333333333333334
rest_399,40.9839057,29.0276192,2.442628205128205
rest_101,41.0086187,29.0406752,2.3958762886597937
rest_989,40.986065,29.0704935,2.511111111111111
rest_268,40.9656997,29.060088,2.631666666666667
rest_272,40.9857239,29.0261811,2.1257246376811594
rest_214,40.9872631,29.0719848,1.5625
rest_790,40.9926262,29.0321588,2.4
rest_946,40.998351,29.0373976,1.8625
rest_917,40.9984786,29.0379059,2.534615384615385
rest_105,40.9971665,29.0342061,3.3383333333333334
rest_714,40.998658,29.0370467,2.972727272727273
rest_477,40.9932034,29.0266147,2.6608225108225105
rest_455,40.9840486,29.0232468,2.5111111111111115
rest_279,40.9825922,29.0393637,2.1364583333333336
rest_529,41.0027508,29.0406145,2.1971264367816095
rest_590,40.9872149,29.0682441,2.875
rest_624,40.9922145,29.0307292,4.6891891891891895
rest_777,40.9657733,29.0599085,2.0852564102564104
rest_608,40.9869354,29.0667065,2.7233333333333336
rest_559,40.9654952,29.069517,3.107222222222222
rest_863,40.9853634,29.0376462,1.7346153846153847
rest_36,40.9859729,29.0698016,1.2166666666666666
rest_40,40.9885967,29.0311022,2.5569620253164556
rest_185,40.9984786,29.0379059,2.7
rest_939,40.9853634,29.0376462,2.36679012345679
rest_689,40.9848937,29.0221986,2.6126666666666667
rest_127,40.964953,29.0679434,2.523161764705882
rest_502,41.0053654,29.0427317,2.36551724137931
rest_807,40.9656522,29.0602052,2.0304347826086957
rest_751,41.0052838,29.044233,1.9545454545454546
rest_312,41.0027949,29.0412776,2.603153153153153
rest_349,40.9892902,29.0288784,2.2679324894514767
rest_305,40.9816288,29.0413568,2.3098958333333335
rest_848,40.986702,29.0704593,2.95
rest_983,40.9657733,29.0599085,3.718518518518519
rest_614,40.9875059,29.0609668,4.2215686274509805
rest_444,40.9657733,29.0599085,2.761111111111111
rest_568,40.9872314,29.0665966,1.438095238095238
rest_908,40.9840486,29.0232468,2.4371069182389937
rest_524,40.9962023,29.0334909,2.2404761904761905
rest_617,40.9853758,29.067773,2.2472222222222222
rest_1007,41.0071856,29.0402062,2.502788978494624
rest_414,40.9964957,29.0361216,1.909375
rest_894,40.9985646,29.0361388,2.5205128205128204
rest_573,40.9652435,29.0572266,2.4170454545454545
rest_661,40.9998073,29.0360634,1.2791666666666666
rest_826,40.9657733,29.0599085,3.038888888888889
rest_1000,40.9846415,29.0696609,2.5206439393939397
rest_448,40.9840674,29.0588391,2.4145833333333333
rest_320,41.0044356,29.0442313,2.0403225806451615
rest_409,40.9992144,29.0338165,2.0722222222222224
rest_188,41.0000178,29.0355806,2.388541666666667
rest_459,40.9846415,29.0696609,2.7694444444444444
rest_690,40.9877802,29.0685488,1.4233333333333333
rest_286,41.0007186,29.0333057,2.6070175438596492
rest_884,40.9848034,29.0691018,2.666666666666667
rest_117,41.0086187,29.0406752,2.457222222222222
rest_380,40.9965053,29.035801,1.5952380952380951
rest_855,41.008304,29.0400169,2.657142857142857
rest_550,40.9852525,29.0615369,3.5839285714285714
rest_668,40.9862176,29.0280159,2.5370523415977964
rest_421,40.9656522,29.0602052,2.55531914893617
rest_1001,40.9916207,29.0319878,2.4255656108597283
rest_494,40.9652435,29.0572266,1.9857142857142858
rest_68,40.9923708,29.0276226,2.6443722943722943
rest_500,40.9656522,29.0602052,3.0260000000000002
rest_84,40.987573,29.0583161,2.635435435435435
rest_145,41.0048116,29.0420995,2.4995238095238097
rest_537,40.9930382,29.0306892,2.4747747747747746
rest_878,40.9867569,29.059069,2.3714814814814815
rest_357,40.9657733,29.0599085,2.938888888888889
rest_780,40.9985018,29.0377396,2.1052083333333336
rest_662,40.9643614,29.0705465,2.531761006289308
rest_1008,41.0053654,29.0427317,4.451520367183018
rest_235,40.9954803,29.0349695,3.5966666666666667
rest_936,41.008304,29.0400169,3.4026315789473687
rest_782,40.9833338,29.0262128,2.063888888888889
rest_371,40.9834503,29.0400335,2.7594594594594595
rest_1002,41.0029712,29.0442676,7.723115679161628
rest_197,40.9656997,29.060088,2.4976190476190476
rest_821,41.0052838,29.044233,2.3949074074074073
rest_218,40.9872918,29.0705068,2.5
rest_446,40.9656522,29.0602052,2.6615079365079364
rest_30,40.9869,29.0691319,2.5125
rest_210,40.9874691,29.0270888,2.6036585365853657
rest_973,40.9882874,29.0319396,2.9123655913978492
rest_769,40.9923708,29.0276226,2.572943722943723
rest_883,40.9964705,29.0378267,2.6766666666666667
rest_463,40.987568,29.0605601,2.587820512820513
rest_836,40.9910574,29.026479,2.5521505376344087
rest_721,40.9982933,29.037517,2.5606060606060606
rest_54,40.9841625,29.0401662,2.086666666666667
rest_1005,41.0032897,29.04264,2.582264150943396
rest_119,40.9932034,29.0266147,2.7152439024390245
