weekly,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2020-12-28,123.0,188.0,77.0,44.0,21.0,16.0,9.0,10.0,1.0,5.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,143.0,156.0,84.0,58.0,33.0,19.0,10.0,2.0,5.0,5.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2021-01-04,82.0,190.0,126.0,60.0,43.0,34.0,19.0,3.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
2021-01-11,10.0,15.0,17.0,3.0,6.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,4.0,1.0,4.0,2.0,3.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,6.0,3.0,2.0,2.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
2021-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-25,155.0,318.0,219.0,135.0,81.0,54.0,37.0,27.0,21.0,7.0,6.0,2.0,1.0,8.0,2.0,5.0,0.0,2.0,1.0,0.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,4.0,1.0,3.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,210.0,437.0,298.0,193.0,113.0,83.0,44.0,51.0,24.0,30.0,17.0,12.0,14.0,8.0,17.0,9.0,7.0,8.0,2.0,2.0,9.0,7.0,6.0,4.0,1.0,8.0,3.0,2.0,5.0,4.0,5.0,0.0,3.0,1.0,1.0,4.0,4.0,1.0,4.0,4.0,5.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-08,25.0,55.0,42.0,22.0,19.0,17.0,17.0,13.0,17.0,7.0,11.0,8.0,6.0,10.0,12.0,7.0,6.0,2.0,5.0,5.0,6.0,11.0,10.0,5.0,2.0,5.0,3.0,1.0,2.0,4.0,1.0,4.0,5.0,4.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-15,9.0,19.0,16.0,14.0,13.0,8.0,9.0,9.0,7.0,5.0,5.0,13.0,7.0,7.0,9.0,11.0,8.0,2.0,4.0,1.0,6.0,5.0,3.0,4.0,6.0,4.0,2.0,2.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-22,0.0,5.0,9.0,9.0,9.0,7.0,8.0,4.0,5.0,6.0,3.0,3.0,2.0,2.0,3.0,5.0,3.0,0.0,4.0,2.0,5.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,2.0,6.0,5.0,1.0,4.0,3.0,4.0,1.0,2.0,3.0,5.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
