hourly,hourly_sessions,hourly_baskets,hourly_order_screens,hourly_orders
0,85.82352941176471,78.88235294117645,35.029411764705884,19.393939393939394
1,104.5,95.35294117647058,39.911764705882355,23.088235294117645
2,103.32352941176471,94.67647058823529,40.470588235294116,24.794117647058826
3,90.41176470588236,82.08823529411767,37.52941176470589,24.205882352941174
4,111.14705882352942,103.14705882352942,44.764705882352935,23.794117647058826
5,120.4,109.8,46.42857142857143,23.205882352941174
6,140.45714285714286,126.62857142857143,48.34285714285714,23.823529411764714
7,182.0,166.94285714285715,68.02857142857142,32.23529411764706
8,383.68571428571437,354.28571428571433,171.45714285714286,115.73529411764706
9,671.9142857142857,626.2571428571429,339.2,250.20588235294116
10,655.0857142857143,606.1714285714286,332.9142857142857,247.41176470588238
11,648.4,602.2,328.2857142857143,247.5
12,667.3529411764706,620.1176470588234,344.5882352941177,250.05882352941174
13,658.8235294117648,612.7058823529413,336.76470588235287,245.64705882352942
14,633.4117647058823,591.7352941176471,330.3235294117647,247.44117647058826
15,603.4705882352941,563.2647058823529,324.0,243.38235294117646
16,563.8235294117648,523.9705882352941,286.1764705882353,209.61764705882354
17,639.1176470588234,597.2058823529413,330.5294117647058,240.08823529411762
18,1138.7647058823532,1066.7058823529412,641.0882352941177,498.9411764705882
19,1131.9705882352941,1062.7352941176468,644.0,500.3235294117647
20,1137.7647058823532,1066.2352941176468,637.2352941176471,496.97058823529403
21,1112.142857142857,1042.3428571428572,625.5142857142857,499.6764705882353
22,1075.142857142857,1008.2285714285713,619.4857142857143,502.29411764705884
23,911.0285714285716,852.0285714285715,531.7714285714286,425.31428571428563
