f_anomaly,m_anomaly,monetary_diff,frequency_diff,f_dec_inc,m_dec_inc,naming
significant increase,significant increase,3.6168268517936895,413.5,increase,increase,"Frequency; increase, Monetary ; increase"
significant decrease,significant increase,8.19561657497454,292.90833333333336,increase,increase,"Frequency; decrease, Monetary ; increase"
significant increase,significant decrease,-8.424110002492867,433.2916666666667,increase,decrease,"Frequency; increase, Monetary ; decrease"
significant increase,significant decrease,-6.860856232019994,369.6542207792208,increase,decrease,"Frequency; increase, Monetary ; decrease"
significant decrease,significant decrease,-1.8869402133736948,291.3031746031746,increase,decrease,"Frequency; decrease, Monetary ; decrease"
significant decrease,significant decrease,-1.8884514885974895,304.4761904761905,increase,decrease,"Frequency; decrease, Monetary ; decrease"
significant increase,significant decrease,-1.528367665732901,376.5166666666667,increase,decrease,"Frequency; increase, Monetary ; decrease"
significant increase,significant increase,6.182058275714521,373.86160714285717,increase,increase,"Frequency; increase, Monetary ; increase"
significant increase,significant increase,16.55287337313098,491.68333333333334,increase,increase,"Frequency; increase, Monetary ; increase"
significant increase,significant decrease,-1.0336811617442514,377.6666666666667,increase,decrease,"Frequency; increase, Monetary ; decrease"
significant increase,significant increase,8.933820582131535,484.68333333333334,increase,increase,"Frequency; increase, Monetary ; increase"
significant increase,significant increase,3.907220932890983,352.4555555555555,increase,increase,"Frequency; increase, Monetary ; increase"
significant increase,significant increase,3.5719656790083647,408.27142857142854,increase,increase,"Frequency; increase, Monetary ; increase"
nomal decrease/increase,significant increase,10.707926416430194,320.0833333333333,increase,increase,"Frequency; no change, Monetary ; increase"
significant increase,significant decrease,-6.807639642685661,347.91607142857146,increase,decrease,"Frequency; increase, Monetary ; decrease"
significant increase,significant decrease,-13.72338818094559,346.6666666666667,increase,decrease,"Frequency; increase, Monetary ; decrease"
significant increase,significant increase,5.011812313624802,447.4761904761905,increase,increase,"Frequency; increase, Monetary ; increase"
nomal decrease/increase,significant decrease,-7.190636157840487,324.33214285714286,increase,decrease,"Frequency; no change, Monetary ; decrease"
significant decrease,significant increase,11.417532840754312,305.0,increase,increase,"Frequency; decrease, Monetary ; increase"
significant decrease,significant decrease,-9.779435106952995,270.81666666666666,increase,decrease,"Frequency; decrease, Monetary ; decrease"
significant increase,significant decrease,-6.169204250971472,431.48888888888894,increase,decrease,"Frequency; increase, Monetary ; decrease"
significant increase,nomal decrease/increase,0.13537579940897615,371.6666666666667,increase,increase,"Frequency; increase, Monetary ; no change"
nomal decrease/increase,significant increase,9.308199856467546,317.84523809523813,increase,increase,"Frequency; no change, Monetary ; increase"
significant increase,nomal decrease/increase,0.5022642597343037,446.0,increase,increase,"Frequency; increase, Monetary ; no change"
significant increase,significant increase,3.1029474559625143,482.53333333333336,increase,increase,"Frequency; increase, Monetary ; increase"
significant increase,significant decrease,-5.006152504483854,464.25,increase,decrease,"Frequency; increase, Monetary ; decrease"
significant increase,significant decrease,-0.7080686711271404,411.2238095238095,increase,decrease,"Frequency; increase, Monetary ; decrease"
significant decrease,significant increase,6.0742158570247184,315.42857142857144,increase,increase,"Frequency; decrease, Monetary ; increase"
significant increase,nomal decrease/increase,0.47813732153600697,401.40476190476187,increase,increase,"Frequency; increase, Monetary ; no change"
significant increase,significant decrease,-13.149738389700651,535.7666666666667,increase,decrease,"Frequency; increase, Monetary ; decrease"
nomal decrease/increase,significant increase,9.677219970290164,327.9761904761905,increase,increase,"Frequency; no change, Monetary ; increase"
significant increase,significant decrease,-4.205236238559106,411.33333333333337,increase,decrease,"Frequency; increase, Monetary ; decrease"
significant increase,significant decrease,-4.047797502924986,412.0333333333333,increase,decrease,"Frequency; increase, Monetary ; decrease"
significant increase,significant increase,6.64026111231318,393.42857142857144,increase,increase,"Frequency; increase, Monetary ; increase"
significant increase,significant decrease,-2.6854008262497935,334.4095238095238,increase,decrease,"Frequency; increase, Monetary ; decrease"
significant increase,nomal decrease/increase,0.016503359973416565,410.82222222222225,increase,increase,"Frequency; increase, Monetary ; no change"
significant increase,significant decrease,-9.797475702762618,358.33035714285717,increase,decrease,"Frequency; increase, Monetary ; decrease"
significant increase,significant decrease,-5.7574155735596975,383.2583333333333,increase,decrease,"Frequency; increase, Monetary ; decrease"
significant increase,significant increase,9.532512113253276,464.93333333333334,increase,increase,"Frequency; increase, Monetary ; increase"
significant increase,significant decrease,-3.59926888817834,416.6,increase,decrease,"Frequency; increase, Monetary ; decrease"
significant increase,significant decrease,-5.8727258982012565,467.05,increase,decrease,"Frequency; increase, Monetary ; decrease"
significant decrease,significant decrease,-2.840019918448384,298.17261904761904,increase,decrease,"Frequency; decrease, Monetary ; decrease"
significant increase,significant decrease,-5.7172556046077325,443.4142857142857,increase,decrease,"Frequency; increase, Monetary ; decrease"
significant increase,significant increase,3.3957336788376224,423.775,increase,increase,"Frequency; increase, Monetary ; increase"
significant increase,significant decrease,-4.606707747069503,491.0833333333333,increase,decrease,"Frequency; increase, Monetary ; decrease"
significant increase,significant decrease,-5.88467814461816,397.73809523809524,increase,decrease,"Frequency; increase, Monetary ; decrease"
significant decrease,significant decrease,-0.4094701573550701,272.3055555555556,increase,decrease,"Frequency; decrease, Monetary ; decrease"
significant increase,significant decrease,-16.851337773998573,417.1111111111111,increase,decrease,"Frequency; increase, Monetary ; decrease"
significant increase,significant increase,2.728496021174241,443.5476190476191,increase,increase,"Frequency; increase, Monetary ; increase"
significant increase,significant decrease,-3.6687274068386735,335.2916666666667,increase,decrease,"Frequency; increase, Monetary ; decrease"
significant decrease,significant increase,7.820508924656426,253.61574074074073,increase,increase,"Frequency; decrease, Monetary ; increase"
significant increase,significant increase,3.032041197170816,400.40555555555557,increase,increase,"Frequency; increase, Monetary ; increase"
significant increase,nomal decrease/increase,0.7766199180111322,331.32142857142856,increase,increase,"Frequency; increase, Monetary ; no change"
significant increase,significant increase,9.50988195871934,435.9041666666667,increase,increase,"Frequency; increase, Monetary ; increase"
nomal decrease/increase,significant increase,14.316991846958814,323.01190476190476,increase,increase,"Frequency; no change, Monetary ; increase"
significant increase,significant increase,4.206622757911685,499.3611111111111,increase,increase,"Frequency; increase, Monetary ; increase"
significant increase,significant decrease,-12.858345590705664,438.8,increase,decrease,"Frequency; increase, Monetary ; decrease"
significant decrease,significant decrease,-2.0141726548117624,313.2410714285714,increase,decrease,"Frequency; decrease, Monetary ; decrease"
significant decrease,significant increase,2.0667447769476297,315.4583333333333,increase,increase,"Frequency; decrease, Monetary ; increase"
significant increase,significant increase,8.782003319859502,402.6333333333333,increase,increase,"Frequency; increase, Monetary ; increase"
nomal decrease/increase,significant increase,1.0830373402270936,317.625,increase,increase,"Frequency; no change, Monetary ; increase"
significant increase,significant increase,9.814044423387163,405.8809523809524,increase,increase,"Frequency; increase, Monetary ; increase"
significant increase,significant decrease,-0.7886030397812611,455.0333333333333,increase,decrease,"Frequency; increase, Monetary ; decrease"
significant increase,significant increase,10.767323418185107,413.20238095238096,increase,increase,"Frequency; increase, Monetary ; increase"
significant increase,significant decrease,-4.5973270534972315,362.85714285714283,increase,decrease,"Frequency; increase, Monetary ; decrease"
significant increase,significant decrease,-8.135355144540469,503.0,increase,decrease,"Frequency; increase, Monetary ; decrease"
significant increase,significant increase,3.392185503281638,474.65,increase,increase,"Frequency; increase, Monetary ; increase"
significant increase,significant increase,11.808676115820795,477.6,increase,increase,"Frequency; increase, Monetary ; increase"
significant increase,significant decrease,-0.8456503075361397,419.7166666666667,increase,decrease,"Frequency; increase, Monetary ; decrease"
nomal decrease/increase,nomal decrease/increase,0.8225532004609875,324.325,increase,increase,"Frequency; no change, Monetary ; no change"
significant increase,significant increase,7.203586487571407,443.3666666666667,increase,increase,"Frequency; increase, Monetary ; increase"
significant increase,significant increase,5.567085599973797,334.9017857142857,increase,increase,"Frequency; increase, Monetary ; increase"
significant increase,significant decrease,-7.143302170783279,362.2888888888889,increase,decrease,"Frequency; increase, Monetary ; decrease"
significant increase,nomal decrease/increase,0.84388404150803,464.3333333333333,increase,increase,"Frequency; increase, Monetary ; no change"
significant increase,significant increase,1.420088490967963,382.3333333333333,increase,increase,"Frequency; increase, Monetary ; increase"
significant increase,significant decrease,-15.658931479056672,367.05555555555554,increase,decrease,"Frequency; increase, Monetary ; decrease"
significant increase,significant decrease,-1.6065271462003423,406.9,increase,decrease,"Frequency; increase, Monetary ; decrease"
significant increase,significant increase,7.038577562783441,367.07142857142856,increase,increase,"Frequency; increase, Monetary ; increase"
