days,client_count,client_count,client_count,client_count,client_count,client_count,client_count,client_count,client_count,client_count,client_count,client_count,client_count,client_count,client_count
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,15
2020-12-15,4.0,2.0,2.0,1.0,,,,,,,,,,,
2020-12-16,12.0,10.0,7.0,5.0,2.0,,1.0,1.0,,,,,,,
2020-12-17,16.0,16.0,3.0,5.0,3.0,1.0,,2.0,1.0,1.0,,,,,
2020-12-18,19.0,17.0,9.0,8.0,1.0,2.0,1.0,,1.0,,,,,,
2020-12-19,23.0,18.0,15.0,5.0,8.0,2.0,1.0,1.0,,,,,,,
2020-12-20,15.0,15.0,11.0,7.0,9.0,4.0,2.0,,1.0,,1.0,,,,
2020-12-21,26.0,15.0,13.0,3.0,3.0,4.0,,,1.0,,1.0,1.0,,,
2020-12-22,17.0,15.0,8.0,2.0,2.0,1.0,2.0,,,,,,,,
2020-12-23,14.0,10.0,11.0,3.0,4.0,2.0,1.0,3.0,,,1.0,,,,
2020-12-24,15.0,10.0,6.0,4.0,2.0,3.0,1.0,1.0,2.0,,,,,,
2020-12-25,10.0,10.0,6.0,1.0,1.0,,,1.0,1.0,1.0,,,,,
2020-12-26,14.0,6.0,7.0,,1.0,,,1.0,1.0,1.0,,,,,
2020-12-27,4.0,4.0,3.0,2.0,,1.0,2.0,1.0,,,,,1.0,,
2020-12-28,4.0,4.0,,1.0,1.0,,1.0,,1.0,,,,,,1.0
2020-12-29,6.0,,,1.0,2.0,,2.0,,,,,,,,
2020-12-30,1.0,2.0,,1.0,1.0,,,,,,,,,,
2020-12-31,3.0,,1.0,3.0,,1.0,1.0,,1.0,1.0,,,,2.0,
2021-01-01,3.0,1.0,1.0,,1.0,,,,,,,,,,1.0
2021-01-02,3.0,,,1.0,,,1.0,1.0,,1.0,,,,,
2021-01-03,2.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,
2021-01-04,2.0,1.0,1.0,,1.0,,,,,,,,,,
2021-01-05,1.0,1.0,1.0,,,,,,,,,,,,
2021-01-06,,1.0,2.0,,,,,,,,,,,,
2021-01-07,,1.0,1.0,2.0,,1.0,,,,,,,,,
2021-01-08,,,,,,1.0,1.0,2.0,,,,,,,
2021-01-11,,,,,,1.0,,,,,,,,,
2021-01-13,,1.0,1.0,,,,,,,,,,,,
2021-01-14,,1.0,,,,,,,,,,,,,
2021-01-15,1.0,,,,,,,,,,,,,,
