days,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2020-12-18,20.0,29.0,22.0,9.0,19.0,25.0,14.0,25.0,33.0,16.0,19.0,17.0,16.0,13.0,21.0,29.0,13.0,17.0,18.0,16.0,13.0,29.0,27.0,10.0,20.0,13.0,17.0,13.0,39.0,7.0
2020-12-19,42.0,35.0,26.0,35.0,35.0,29.0,51.0,64.0,37.0,33.0,36.0,34.0,33.0,53.0,64.0,39.0,36.0,39.0,41.0,35.0,53.0,47.0,41.0,24.0,25.0,25.0,30.0,54.0,25.0,
2020-12-20,20.0,24.0,28.0,18.0,33.0,46.0,50.0,33.0,19.0,29.0,24.0,29.0,45.0,63.0,30.0,29.0,28.0,35.0,30.0,52.0,43.0,22.0,25.0,23.0,28.0,20.0,53.0,18.0,,
2020-12-21,9.0,21.0,17.0,14.0,27.0,21.0,14.0,18.0,11.0,17.0,19.0,29.0,24.0,21.0,10.0,15.0,23.0,12.0,18.0,27.0,14.0,12.0,12.0,15.0,19.0,29.0,7.0,,,
2020-12-22,12.0,13.0,15.0,24.0,24.0,16.0,14.0,17.0,13.0,14.0,32.0,26.0,20.0,17.0,15.0,7.0,11.0,17.0,25.0,18.0,14.0,16.0,13.0,11.0,30.0,15.0,,,,
2020-12-23,16.0,23.0,38.0,28.0,25.0,22.0,25.0,19.0,22.0,39.0,27.0,31.0,14.0,17.0,31.0,25.0,37.0,34.0,22.0,13.0,8.0,12.0,13.0,27.0,10.0,,,,,
2020-12-24,16.0,27.0,32.0,22.0,16.0,22.0,13.0,8.0,25.0,27.0,20.0,21.0,22.0,21.0,9.0,23.0,33.0,19.0,12.0,19.0,15.0,12.0,31.0,15.0,,,,,,
2020-12-25,19.0,25.0,20.0,27.0,20.0,14.0,25.0,36.0,40.0,16.0,29.0,23.0,28.0,15.0,38.0,26.0,18.0,23.0,20.0,16.0,11.0,38.0,11.0,,,,,,,
2020-12-26,37.0,32.0,22.0,30.0,26.0,25.0,40.0,51.0,31.0,32.0,26.0,33.0,38.0,48.0,46.0,37.0,26.0,28.0,36.0,28.0,41.0,22.0,,,,,,,,
2020-12-27,24.0,26.0,32.0,39.0,45.0,47.0,68.0,49.0,39.0,36.0,43.0,52.0,53.0,58.0,41.0,27.0,31.0,42.0,34.0,52.0,27.0,,,,,,,,,
2020-12-28,8.0,17.0,22.0,22.0,29.0,26.0,24.0,13.0,16.0,15.0,16.0,21.0,11.0,23.0,12.0,11.0,16.0,8.0,27.0,7.0,,,,,,,,,,
2020-12-29,17.0,11.0,22.0,36.0,41.0,18.0,23.0,22.0,16.0,22.0,30.0,31.0,12.0,15.0,15.0,10.0,13.0,28.0,10.0,,,,,,,,,,,
2020-12-30,14.0,13.0,38.0,31.0,18.0,24.0,17.0,18.0,11.0,24.0,18.0,14.0,9.0,14.0,10.0,8.0,25.0,7.0,,,,,,,,,,,,
2020-12-31,15.0,38.0,43.0,16.0,19.0,17.0,27.0,21.0,32.0,33.0,24.0,15.0,8.0,19.0,24.0,33.0,10.0,,,,,,,,,,,,,
2021-01-01,22.0,29.0,23.0,14.0,9.0,22.0,14.0,24.0,30.0,16.0,15.0,16.0,11.0,9.0,22.0,20.0,,,,,,,,,,,,,,
2021-01-02,56.0,40.0,25.0,31.0,43.0,31.0,49.0,46.0,38.0,29.0,30.0,29.0,39.0,58.0,31.0,,,,,,,,,,,,,,,
2021-01-03,30.0,42.0,26.0,53.0,33.0,56.0,49.0,33.0,28.0,42.0,35.0,25.0,58.0,23.0,,,,,,,,,,,,,,,,
2021-01-04,14.0,28.0,15.0,24.0,36.0,31.0,19.0,20.0,17.0,14.0,18.0,41.0,17.0,,,,,,,,,,,,,,,,,
2021-01-05,13.0,20.0,20.0,31.0,25.0,14.0,18.0,22.0,13.0,18.0,36.0,9.0,,,,,,,,,,,,,,,,,,
2021-01-06,11.0,23.0,36.0,30.0,19.0,17.0,14.0,16.0,24.0,42.0,5.0,,,,,,,,,,,,,,,,,,,
2021-01-07,12.0,41.0,28.0,17.0,11.0,19.0,16.0,19.0,35.0,12.0,,,,,,,,,,,,,,,,,,,,
2021-01-08,23.0,32.0,15.0,21.0,22.0,13.0,13.0,29.0,14.0,,,,,,,,,,,,,,,,,,,,,
2021-01-09,39.0,37.0,30.0,26.0,23.0,26.0,54.0,24.0,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,21.0,27.0,25.0,30.0,32.0,47.0,22.0,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,8.0,10.0,10.0,7.0,14.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,14.0,16.0,13.0,21.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,12.0,14.0,22.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,8.0,25.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,44.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
