daily,Anomaly Score Download to First Order,outlier
2021-01-31,0.2857142857142857,1
2021-02-01,27.732818875994003,0
2021-02-02,19.61472075326102,0
2021-02-03,15.103575570242745,0
2021-02-04,12.486187662397112,1
2021-02-05,10.908091953822545,1
2021-02-06,8.320963246481758,1
2021-02-07,6.5194710322788785,1
2021-02-08,7.073952606746128,1
2021-02-09,6.651738916124616,1
2021-02-10,8.701863425118583,1
2021-02-11,8.180860451289586,1
2021-02-12,8.489254134041923,1
2021-02-13,9.0850830078125,1
2021-02-14,21.395887102399552,0
2021-02-15,28.396533966064453,0
2021-02-16,26.40989739554269,0
2021-02-17,20.041621889386857,0
2021-02-18,15.467526299612862,0
2021-02-19,14.62625094822475,1
2021-02-20,22.84228011540004,0
2021-02-21,15.405253274100167,0
2021-02-22,12.717273984636579,1
2021-02-23,17.463237626211985,0
2021-02-24,24.902638299124582,0
2021-02-25,12.822097369602748,1
2021-02-26,12.63319342476981,1
2021-02-27,15.6951721736363,0
2021-02-28,12.316676412309919,1
2021-03-01,5.243330104010446,1
2021-03-02,13.127334458487374,1
2021-03-03,11.616719790867396,1
2021-03-04,14.45689937046596,1
2021-03-05,11.967101505824498,1
2021-03-06,12.955126081194196,1
2021-03-07,11.95093822479248,1
2021-03-08,12.810721465519496,1
2021-03-09,12.322353771754674,1
2021-03-10,9.025991712297712,1
2021-03-11,7.83830383845738,1
2021-03-12,16.8734005519322,0
2021-03-13,14.208734239850726,1
2021-03-14,12.58625602722168,1
2021-03-15,8.357652527945381,1
2021-03-16,10.583321435110909,1
2021-03-17,13.029930932181221,1
2021-03-18,11.921781539916992,1
2021-03-19,12.001445497785296,1
2021-03-20,11.32201862335205,1
2021-03-21,7.32174049104963,1
2021-03-22,13.394230706351143,1
2021-03-23,9.853782381330218,1
2021-03-24,4.514564514160156,1
2021-03-25,9.539969648633685,1
2021-03-26,6.06986175264631,1
2021-03-27,7.898661000388009,1
2021-03-28,4.45914500100272,1
2021-03-29,1.822049617767334,1
2021-03-30,15.422970363071986,0
2021-03-31,14.311784199305944,1
2021-04-01,12.595047269548688,1
2021-04-02,12.088189193180629,1
2021-04-03,12.904865877968925,1
2021-04-04,11.290646621159144,1
2021-04-05,9.783222334725517,1
2021-04-06,7.475150108337402,1
2021-04-07,6.528051171983991,1
2021-04-08,6.960647310529437,1
2021-04-09,8.28459221976144,1
2021-04-10,8.457124437604632,1
2021-04-11,13.238350187029157,1
2021-04-12,6.5390521458217075,1
2021-04-13,5.343181610107422,1
2021-04-14,5.531165259225028,1
2021-04-15,18.933004924229213,0
2021-04-16,22.64250319344657,0
2021-04-17,16.772992406572616,0
2021-04-18,17.72729696546282,0
2021-04-19,13.307647705078125,1
2021-04-20,14.245682171412877,1
2021-04-21,14.205330848693848,1
2021-04-22,12.917715072631836,1
2021-04-23,15.382973126002721,0
2021-04-24,13.866368566240583,1
2021-04-25,13.029214859008789,1
2021-04-26,14.626681327819824,1
2021-04-27,12.73928233555385,1
2021-04-28,13.689498492649623,1
2021-04-29,11.198641777038574,1
2021-04-30,20.622896466936385,0
2021-05-01,24.01239231654576,0
2021-05-02,20.649023056030273,0
2021-05-03,17.813974380493164,0
2021-05-04,17.911873953683035,0
2021-05-05,39.15959439958845,0
2021-05-06,32.643248966761995,0
2021-05-07,30.91246359688895,0
2021-05-08,12.801278114318848,1
2021-05-09,21.409778322492325,0
2021-05-10,32.69048908778599,0
2021-05-11,31.23572758265904,0
2021-05-12,40.39947019304548,0
2021-05-13,30.53363527570452,0
2021-05-14,38.5238151550293,0
2021-05-15,40.93440137590681,0
2021-05-16,40.024378640311106,0
2021-05-17,44.5706912449428,0
2021-05-18,32.87157385689871,0
2021-05-19,39.9095709664481,0
2021-05-20,34.479034423828125,0
2021-05-21,44.5195323399135,0
2021-05-22,49.57786178588867,0
2021-05-23,44.6038703918457,0
2021-05-24,37.878052302769255,0
2021-05-25,49.34331457955496,0
2021-05-26,53.41398402622768,0
2021-05-27,33.10901042393276,0
