outlier,Anomaly Score Download to First Order,daily
0.76,0.7777777777777777,2021-01-31T00:00:00
0.85,0.8174918061066068,2021-02-01T00:00:00
0.85,0.8222304694748562,2021-02-02T00:00:00
0.76,0.8133854697948544,2021-02-03T00:00:00
0.85,0.8189582581498858,2021-02-04T00:00:00
0.76,0.8130909914500878,2021-02-05T00:00:00
0.85,0.8200946870068385,2021-02-06T00:00:00
0.76,0.8158028026338005,2021-02-07T00:00:00
0.85,0.8254322364751813,2021-02-08T00:00:00
0.85,0.8185120093731694,2021-02-09T00:00:00
0.76,0.8109857285097909,2021-02-10T00:00:00
0.85,0.8182190978324546,2021-02-11T00:00:00
0.85,0.8215707564241767,2021-02-12T00:00:00
0.76,0.8133059454524707,2021-02-13T00:00:00
0.85,0.8179168068169078,2021-02-14T00:00:00
0.76,0.8154989384288748,2021-02-15T00:00:00
0.85,0.8195868159596279,2021-02-16T00:00:00
0.76,0.8082805111178187,2021-02-17T00:00:00
0.76,0.8166533226581265,2021-02-18T00:00:00
0.85,0.8189737092176116,2021-02-19T00:00:00
0.76,0.8101736365859624,2021-02-20T00:00:00
0.85,0.8175339307236807,2021-02-21T00:00:00
0.76,0.8125228471460652,2021-02-22T00:00:00
0.85,0.8186243718592965,2021-02-23T00:00:00
0.76,0.8143880411086889,2021-02-24T00:00:00
0.76,0.8144484848484849,2021-02-25T00:00:00
0.76,0.8136535127969817,2021-02-26T00:00:00
0.76,0.8151697177726925,2021-02-27T00:00:00
0.76,0.810388650122464,2021-02-28T00:00:00
0.76,0.8161764705882352,2021-03-01T00:00:00
0.76,0.8142513490670308,2021-03-02T00:00:00
0.76,0.8121280461066216,2021-03-03T00:00:00
0.76,0.8115291034999065,2021-03-04T00:00:00
0.76,0.8131149622294167,2021-03-05T00:00:00
0.76,0.809778927273847,2021-03-06T00:00:00
0.85,0.8175688691966866,2021-03-07T00:00:00
0.76,0.8165065673397374,2021-03-08T00:00:00
0.76,0.8135251072419883,2021-03-09T00:00:00
0.85,0.8227203597169873,2021-03-10T00:00:00
0.76,0.8143813796242118,2021-03-11T00:00:00
0.76,0.8109444536014504,2021-03-12T00:00:00
0.85,0.8227202656231473,2021-03-13T00:00:00
0.76,0.8106495922946424,2021-03-14T00:00:00
0.85,0.8228155339805826,2021-03-15T00:00:00
0.76,0.811421416516958,2021-03-16T00:00:00
0.76,0.8072471061902365,2021-03-17T00:00:00
0.85,0.8308256172839507,2021-03-18T00:00:00
0.76,0.811009969657564,2021-03-19T00:00:00
0.76,0.8101911512027492,2021-03-20T00:00:00
0.85,0.8186207680072711,2021-03-21T00:00:00
0.85,0.8192012816111683,2021-03-22T00:00:00
0.85,0.8182714426552744,2021-03-23T00:00:00
0.85,0.8192861255037421,2021-03-24T00:00:00
0.76,0.8112838409475466,2021-03-25T00:00:00
0.76,0.8141025641025642,2021-03-26T00:00:00
0.76,0.8139670428654693,2021-03-27T00:00:00
0.76,0.8170763943959821,2021-03-28T00:00:00
0.76,0.8162287225252024,2021-03-29T00:00:00
0.76,0.8124886877828055,2021-03-30T00:00:00
