days,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2020-12-18,307.0,530.0,366.0,273.0,251.0,300.0,260.0,411.0,386.0,276.0,183.0,183.0,180.0,220.0,230.0,352.0,249.0,141.0,154.0,172.0,138.0,56.0,85.0,64.0,35.0,36.0,43.0,37.0,54.0,52.0
2020-12-19,421.0,382.0,254.0,235.0,272.0,290.0,431.0,498.0,368.0,162.0,209.0,166.0,209.0,250.0,372.0,252.0,185.0,159.0,153.0,146.0,150.0,80.0,68.0,29.0,42.0,42.0,39.0,56.0,44.0,
2020-12-20,261.0,238.0,215.0,370.0,268.0,415.0,462.0,416.0,169.0,210.0,154.0,211.0,237.0,341.0,238.0,205.0,197.0,157.0,142.0,175.0,208.0,59.0,36.0,37.0,30.0,35.0,57.0,41.0,,
2020-12-21,168.0,224.0,286.0,275.0,374.0,466.0,392.0,229.0,238.0,165.0,200.0,243.0,355.0,261.0,216.0,209.0,194.0,147.0,196.0,215.0,144.0,38.0,33.0,42.0,32.0,65.0,44.0,,,
2020-12-22,198.0,336.0,237.0,408.0,471.0,444.0,242.0,308.0,187.0,186.0,226.0,331.0,257.0,211.0,210.0,184.0,186.0,175.0,245.0,153.0,97.0,29.0,41.0,38.0,55.0,54.0,,,,
2020-12-23,254.0,271.0,392.0,497.0,419.0,224.0,291.0,269.0,224.0,215.0,320.0,264.0,179.0,177.0,196.0,201.0,213.0,192.0,156.0,96.0,124.0,44.0,31.0,54.0,58.0,,,,,
2020-12-24,217.0,399.0,478.0,461.0,239.0,310.0,245.0,332.0,270.0,300.0,275.0,169.0,178.0,202.0,180.0,238.0,264.0,154.0,111.0,142.0,117.0,38.0,55.0,36.0,,,,,,
2020-12-25,251.0,473.0,400.0,250.0,303.0,241.0,312.0,409.0,382.0,244.0,166.0,176.0,194.0,176.0,236.0,286.0,210.0,100.0,105.0,129.0,111.0,49.0,48.0,,,,,,,
2020-12-26,361.0,440.0,243.0,289.0,262.0,314.0,362.0,544.0,314.0,174.0,205.0,210.0,190.0,246.0,272.0,217.0,131.0,121.0,123.0,114.0,169.0,56.0,,,,,,,,
2020-12-27,286.0,216.0,296.0,279.0,299.0,386.0,513.0,360.0,205.0,167.0,197.0,210.0,234.0,285.0,240.0,151.0,153.0,124.0,105.0,188.0,143.0,,,,,,,,,
2020-12-28,174.0,274.0,243.0,289.0,389.0,505.0,375.0,258.0,219.0,172.0,188.0,225.0,287.0,209.0,141.0,173.0,146.0,108.0,176.0,141.0,,,,,,,,,,
2020-12-29,236.0,232.0,292.0,334.0,502.0,377.0,280.0,291.0,231.0,183.0,230.0,281.0,233.0,122.0,165.0,161.0,133.0,204.0,150.0,,,,,,,,,,,
2020-12-30,187.0,274.0,351.0,466.0,353.0,268.0,269.0,297.0,203.0,214.0,269.0,193.0,144.0,143.0,182.0,144.0,225.0,129.0,,,,,,,,,,,,
2020-12-31,228.0,342.0,496.0,343.0,254.0,265.0,271.0,254.0,259.0,270.0,172.0,157.0,170.0,142.0,158.0,262.0,204.0,,,,,,,,,,,,,
2021-01-01,291.0,516.0,400.0,251.0,281.0,283.0,274.0,340.0,346.0,211.0,123.0,154.0,143.0,133.0,246.0,190.0,,,,,,,,,,,,,,
2021-01-02,375.0,375.0,264.0,266.0,272.0,266.0,342.0,417.0,221.0,133.0,158.0,142.0,142.0,220.0,192.0,,,,,,,,,,,,,,,
2021-01-03,258.0,261.0,240.0,270.0,241.0,316.0,407.0,310.0,151.0,168.0,134.0,152.0,248.0,189.0,,,,,,,,,,,,,,,,
2021-01-04,176.0,235.0,272.0,261.0,338.0,403.0,333.0,202.0,205.0,148.0,126.0,252.0,202.0,,,,,,,,,,,,,,,,,
2021-01-05,200.0,255.0,254.0,342.0,375.0,343.0,168.0,219.0,179.0,148.0,224.0,160.0,,,,,,,,,,,,,,,,,,
2021-01-06,212.0,242.0,337.0,421.0,296.0,187.0,229.0,242.0,142.0,196.0,212.0,,,,,,,,,,,,,,,,,,,
2021-01-07,165.0,312.0,384.0,281.0,180.0,213.0,221.0,174.0,259.0,198.0,,,,,,,,,,,,,,,,,,,,
2021-01-08,263.0,365.0,303.0,202.0,209.0,213.0,181.0,371.0,223.0,,,,,,,,,,,,,,,,,,,,,
2021-01-09,299.0,299.0,197.0,231.0,216.0,175.0,335.0,271.0,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,171.0,191.0,213.0,218.0,203.0,327.0,283.0,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,176.0,224.0,201.0,186.0,303.0,283.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,185.0,185.0,194.0,322.0,277.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,164.0,215.0,328.0,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,180.0,339.0,289.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,280.0,271.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
