,hours,orders
0,0,22.72222222222222
1,1,28.236363636363638
2,2,29.10909090909091
3,3,29.0
4,4,28.2
5,5,28.236363636363638
6,6,28.672727272727272
7,7,37.236363636363635
8,8,120.7090909090909
9,9,260.1272727272727
10,10,253.4181818181818
11,11,255.3272727272727
12,12,257.1636363636364
13,13,252.3090909090909
14,14,256.23636363636365
15,15,253.38181818181818
16,16,223.07272727272726
17,17,253.98181818181817
18,18,513.1636363636363
19,19,518.5818181818182
20,20,513.7272727272727
21,21,518.4363636363636
22,22,518.1818181818181
23,23,447.6607142857143
