,hours,category,order_count,product_cat_order_count_rank,hourly_total_orders,hourly_order_ratio
0,0,p_c_1,299,6,640,0.4671875
1,0,p_c_10,331,3,640,0.5171875
2,0,p_c_2,259,7,640,0.4046875
3,0,p_c_3,197,10,640,0.3078125
4,0,p_c_4,248,8,640,0.3875
5,0,p_c_5,245,9,640,0.3828125
6,0,p_c_6,319,4,640,0.4984375
7,0,p_c_7,409,1,640,0.6390625
8,0,p_c_8,385,2,640,0.6015625
9,0,p_c_9,301,5,640,0.4703125
10,1,p_c_1,379,4,785,0.48280254777070064
11,1,p_c_10,369,6,785,0.47006369426751593
12,1,p_c_2,328,7,785,0.4178343949044586
13,1,p_c_3,237,10,785,0.3019108280254777
14,1,p_c_4,317,8,785,0.40382165605095544
15,1,p_c_5,306,9,785,0.38980891719745225
16,1,p_c_6,414,3,785,0.5273885350318471
17,1,p_c_7,493,1,785,0.6280254777070063
18,1,p_c_8,473,2,785,0.6025477707006369
19,1,p_c_9,379,5,785,0.48280254777070064
20,2,p_c_1,377,6,843,0.4472123368920522
21,2,p_c_10,414,4,843,0.49110320284697506
22,2,p_c_2,355,8,843,0.4211150652431791
23,2,p_c_3,264,10,843,0.31316725978647686
24,2,p_c_4,357,7,843,0.4234875444839858
25,2,p_c_5,347,9,843,0.41162514827995256
26,2,p_c_6,440,3,843,0.5219454329774614
27,2,p_c_7,546,1,843,0.6476868327402135
28,2,p_c_8,463,2,843,0.5492289442467378
29,2,p_c_9,382,5,843,0.4531435349940688
30,3,p_c_1,385,5,823,0.46780072904009723
31,3,p_c_10,404,3,823,0.4908869987849332
32,3,p_c_2,326,9,823,0.39611178614823817
33,3,p_c_3,216,10,823,0.2624544349939247
34,3,p_c_4,354,7,823,0.43013365735115433
35,3,p_c_5,330,8,823,0.40097205346294046
36,3,p_c_6,398,4,823,0.4835965978128797
37,3,p_c_7,544,1,823,0.660996354799514
38,3,p_c_8,472,2,823,0.5735115431348724
39,3,p_c_9,382,6,823,0.4641555285540705
40,4,p_c_1,376,5,809,0.4647713226205192
41,4,p_c_10,376,6,809,0.4647713226205192
42,4,p_c_2,372,7,809,0.45982694684796044
43,4,p_c_3,240,10,809,0.29666254635352285
44,4,p_c_4,346,8,809,0.4276885043263288
45,4,p_c_5,333,9,809,0.411619283065513
46,4,p_c_6,396,3,809,0.4894932014833127
47,4,p_c_7,534,1,809,0.6600741656365884
48,4,p_c_8,516,2,809,0.6378244746600742
49,4,p_c_9,382,4,809,0.4721878862793572
50,5,p_c_1,403,4,789,0.5107731305449936
51,5,p_c_10,390,5,789,0.49429657794676807
52,5,p_c_2,329,9,789,0.41698352344740175
53,5,p_c_3,244,10,789,0.30925221799746516
54,5,p_c_4,341,7,789,0.43219264892268694
55,5,p_c_5,331,8,789,0.41951837769328265
56,5,p_c_6,416,3,789,0.5272496831432193
57,5,p_c_7,491,1,789,0.6223067173637515
58,5,p_c_8,454,2,789,0.5754119138149556
59,5,p_c_9,344,6,789,0.43599493029150826
60,6,p_c_1,380,6,810,0.4691358024691358
61,6,p_c_10,407,3,810,0.5024691358024691
62,6,p_c_2,341,8,810,0.42098765432098767
63,6,p_c_3,215,10,810,0.2654320987654321
64,6,p_c_4,349,7,810,0.4308641975308642
65,6,p_c_5,315,9,810,0.3888888888888889
66,6,p_c_6,403,4,810,0.49753086419753084
67,6,p_c_7,512,1,810,0.6320987654320988
68,6,p_c_8,478,2,810,0.5901234567901235
69,6,p_c_9,400,5,810,0.49382716049382713
70,7,p_c_1,523,5,1096,0.4771897810218978
71,7,p_c_10,552,4,1096,0.5036496350364964
72,7,p_c_2,444,8,1096,0.4051094890510949
73,7,p_c_3,329,10,1096,0.3001824817518248
74,7,p_c_4,476,7,1096,0.4343065693430657
75,7,p_c_5,438,9,1096,0.39963503649635035
76,7,p_c_6,597,3,1096,0.5447080291970803
77,7,p_c_7,699,1,1096,0.6377737226277372
78,7,p_c_8,652,2,1096,0.5948905109489051
79,7,p_c_9,516,6,1096,0.4708029197080292
80,8,p_c_1,1782,6,3935,0.452858958068615
81,8,p_c_10,2027,4,3935,0.5151207115628971
82,8,p_c_2,1669,7,3935,0.4241423125794155
83,8,p_c_3,1180,10,3935,0.29987293519695046
84,8,p_c_4,1637,8,3935,0.41601016518424394
85,8,p_c_5,1625,9,3935,0.41296060991105465
86,8,p_c_6,2052,3,3935,0.5214739517153748
87,8,p_c_7,2526,1,3935,0.6419313850063533
88,8,p_c_8,2283,2,3935,0.5801778907242694
89,8,p_c_9,1832,5,3935,0.4655654383735705
90,9,p_c_1,3897,6,8507,0.45809333490067006
91,9,p_c_10,4142,4,8507,0.4868931468202657
92,9,p_c_2,3552,8,8507,0.4175384977077701
93,9,p_c_3,2561,10,8507,0.3010461972493241
94,9,p_c_4,3604,7,8507,0.4236511108498883
95,9,p_c_5,3459,9,8507,0.40660632420359705
96,9,p_c_6,4267,3,8507,0.5015869284118961
97,9,p_c_7,5489,1,8507,0.6452333372516751
98,9,p_c_8,4982,2,8507,0.585635359116022
99,9,p_c_9,3916,5,8507,0.4603267897025979
100,10,p_c_1,3957,5,8412,0.4703994293865906
101,10,p_c_10,4180,4,8412,0.4969091773656681
102,10,p_c_2,3550,8,8412,0.4220161673799334
103,10,p_c_3,2605,10,8412,0.3096766524013314
104,10,p_c_4,3575,7,8412,0.4249881122206372
105,10,p_c_5,3308,9,8412,0.3932477413219211
106,10,p_c_6,4257,3,8412,0.5060627674750356
107,10,p_c_7,5417,1,8412,0.64396100808369
108,10,p_c_8,4970,2,8412,0.5908226343319068
109,10,p_c_9,3916,6,8412,0.4655254398478364
110,11,p_c_1,3837,5,8415,0.4559714795008913
111,11,p_c_10,4103,4,8415,0.4875816993464052
112,11,p_c_2,3607,8,8415,0.42863933452168745
113,11,p_c_3,2465,10,8415,0.29292929292929293
114,11,p_c_4,3625,7,8415,0.43077837195484253
115,11,p_c_5,3517,9,8415,0.41794414735591207
116,11,p_c_6,4326,3,8415,0.5140819964349376
117,11,p_c_7,5354,1,8415,0.6362448009506833
118,11,p_c_8,4982,2,8415,0.592038027332145
119,11,p_c_9,3836,6,8415,0.4558526440879382
120,12,p_c_1,3939,5,8502,0.463302752293578
121,12,p_c_10,4167,4,8502,0.4901199717713479
122,12,p_c_2,3607,8,8502,0.42425311691366735
123,12,p_c_3,2564,10,8502,0.30157609974123734
124,12,p_c_4,3626,7,8502,0.4264878852034815
125,12,p_c_5,3504,9,8502,0.41213832039520115
126,12,p_c_6,4373,3,8502,0.5143495648082804
127,12,p_c_7,5460,1,8502,0.6422018348623854
128,12,p_c_8,4934,2,8502,0.5803340390496354
129,12,p_c_9,3907,6,8502,0.4595389320159962
130,13,p_c_1,3828,6,8352,0.4583333333333333
131,13,p_c_10,4172,4,8352,0.49952107279693486
132,13,p_c_2,3566,7,8352,0.42696360153256707
133,13,p_c_3,2435,10,8352,0.2915469348659004
134,13,p_c_4,3497,8,8352,0.4187021072796935
135,13,p_c_5,3390,9,8352,0.40589080459770116
136,13,p_c_6,4255,3,8352,0.5094588122605364
137,13,p_c_7,5400,1,8352,0.646551724137931
138,13,p_c_8,4843,2,8352,0.5798611111111112
139,13,p_c_9,3901,5,8352,0.46707375478927204
140,14,p_c_1,3852,6,8413,0.45786283133246164
141,14,p_c_10,4156,4,8413,0.4939973849994057
142,14,p_c_2,3649,8,8413,0.43373350766670626
143,14,p_c_3,2505,10,8413,0.2977534767621538
144,14,p_c_4,3676,7,8413,0.4369428265779151
145,14,p_c_5,3301,9,8413,0.39236895281112566
146,14,p_c_6,4269,3,8413,0.5074289789611316
147,14,p_c_7,5366,1,8413,0.6378224176869131
148,14,p_c_8,4974,2,8413,0.5912278616426958
149,14,p_c_9,3912,5,8413,0.464994651135148
150,15,p_c_1,3713,6,8275,0.4487009063444109
151,15,p_c_10,4043,4,8275,0.4885800604229607
152,15,p_c_2,3459,8,8275,0.4180060422960725
153,15,p_c_3,2495,10,8275,0.30151057401812686
154,15,p_c_4,3581,7,8275,0.4327492447129909
155,15,p_c_5,3315,9,8275,0.40060422960725073
156,15,p_c_6,4271,3,8275,0.5161329305135952
157,15,p_c_7,5276,1,8275,0.637583081570997
158,15,p_c_8,4906,2,8275,0.5928700906344411
159,15,p_c_9,3833,5,8275,0.463202416918429
160,16,p_c_1,3272,6,7126,0.45916362615773226
161,16,p_c_10,3458,4,7126,0.48526522593320237
162,16,p_c_2,3056,7,7126,0.4288520909346057
163,16,p_c_3,2099,10,7126,0.2945551501543643
164,16,p_c_4,2964,8,7126,0.41594162222845915
165,16,p_c_5,2868,9,7126,0.40246982879595844
166,16,p_c_6,3690,3,7126,0.5178220600617457
167,16,p_c_7,4549,1,7126,0.6383665450463093
168,16,p_c_8,4186,2,7126,0.587426326129666
169,16,p_c_9,3294,5,7126,0.4622509121526803
170,17,p_c_1,3798,6,8163,0.4652701212789416
171,17,p_c_10,4156,4,8163,0.5091265466127649
172,17,p_c_2,3380,8,8163,0.41406345706235453
173,17,p_c_3,2394,10,8163,0.2932745314222712
