,hours,product,order_count,product_order_count_rank,hourly_total_orders,hourly_order_ratio
0,0,p_0,23,45,640,0.0359375
1,0,p_1,24,33,640,0.0375
2,0,p_10,25,21,640,0.0390625
3,0,p_100,21,76,640,0.0328125
4,0,p_101,14,175,640,0.021875
5,0,p_102,21,77,640,0.0328125
6,0,p_103,23,46,640,0.0359375
7,0,p_104,24,34,640,0.0375
8,0,p_105,23,47,640,0.0359375
9,0,p_106,25,22,640,0.0390625
10,0,p_107,14,176,640,0.021875
11,0,p_108,19,111,640,0.0296875
12,0,p_109,16,157,640,0.025
13,0,p_11,20,98,640,0.03125
14,0,p_110,12,190,640,0.01875
15,0,p_111,19,112,640,0.0296875
16,0,p_112,18,131,640,0.028125
17,0,p_113,10,199,640,0.015625
18,0,p_114,20,99,640,0.03125
19,0,p_115,28,5,640,0.04375
20,0,p_116,18,132,640,0.028125
21,0,p_117,19,113,640,0.0296875
22,0,p_118,27,10,640,0.0421875
23,0,p_119,21,78,640,0.0328125
24,0,p_12,27,11,640,0.0421875
25,0,p_120,24,35,640,0.0375
26,0,p_121,24,36,640,0.0375
27,0,p_122,28,6,640,0.04375
28,0,p_123,15,169,640,0.0234375
29,0,p_124,14,177,640,0.021875
30,0,p_125,21,79,640,0.0328125
31,0,p_126,23,48,640,0.0359375
32,0,p_127,22,61,640,0.034375
33,0,p_128,24,37,640,0.0375
34,0,p_129,14,178,640,0.021875
35,0,p_13,21,80,640,0.0328125
36,0,p_130,20,100,640,0.03125
37,0,p_131,26,15,640,0.040625
38,0,p_132,17,145,640,0.0265625
39,0,p_133,11,194,640,0.0171875
40,0,p_134,19,114,640,0.0296875
41,0,p_135,23,49,640,0.0359375
42,0,p_136,20,101,640,0.03125
43,0,p_137,23,50,640,0.0359375
44,0,p_138,26,16,640,0.040625
45,0,p_139,26,17,640,0.040625
46,0,p_14,18,133,640,0.028125
47,0,p_140,27,12,640,0.0421875
48,0,p_141,22,62,640,0.034375
49,0,p_142,20,102,640,0.03125
50,0,p_143,24,38,640,0.0375
51,0,p_144,21,81,640,0.0328125
52,0,p_145,15,170,640,0.0234375
53,0,p_146,30,2,640,0.046875
54,0,p_147,23,51,640,0.0359375
55,0,p_148,18,134,640,0.028125
56,0,p_149,25,23,640,0.0390625
57,0,p_15,21,82,640,0.0328125
58,0,p_150,21,83,640,0.0328125
59,0,p_151,17,146,640,0.0265625
60,0,p_152,25,24,640,0.0390625
61,0,p_153,12,191,640,0.01875
62,0,p_154,20,103,640,0.03125
63,0,p_155,22,63,640,0.034375
64,0,p_156,16,158,640,0.025
65,0,p_157,21,84,640,0.0328125
66,0,p_158,26,18,640,0.040625
67,0,p_159,19,115,640,0.0296875
