,client,recency_segment,frequency_segment,monetary_segment,segments,segments_numeric,frequency,recency,monetary
0,u_100008,4,4,2,potential loyalist,2,421.0,326,34.55
1,u_100013,4,5,3,loyal customers,1,233.0,350,27.552500000000002
2,u_100015,1,5,3,lost,10,73.0,1852,30.962500000000002
3,u_100062,3,4,4,loyal customers,1,449.0,891,23.763333333333332
4,u_100077,2,4,4,at risk,7,549.0,988,25.805
5,u_100115,5,3,4,loyal customers,1,755.0,14,25.621666666666666
6,u_100116,4,3,2,potential loyalist,2,657.0,390,41.07333333333333
7,u_100123,3,4,3,loyal customers,1,343.6666666666667,704,28.3125
8,u_100127,3,3,2,potential loyalist,2,702.0,824,41.3475
9,u_100142,5,5,3,loyal customers,1,229.5,53,29.736666666666668
10,u_100145,5,1,5,new customers,3,1345.0,121,16.8975
11,u_100193,4,3,2,potential loyalist,2,884.0,292,42.47
12,u_10020,2,3,1,others,11,652.0,938,44.5625
13,u_10028,4,2,2,promising,4,1115.0,300,35.935
14,u_10031,4,3,4,loyal customers,1,819.0,515,23.39
15,u_10032,3,3,2,potential loyalist,2,855.0,876,37.1275
16,u_100320,5,2,1,new customers,3,992.0,197,44.04
17,u_100327,3,4,4,loyal customers,1,482.0,700,26.511666666666667
18,u_100330,1,5,2,lost,10,268.0,1664,35.205
19,u_100345,5,5,3,loyal customers,1,139.0,180,32.985
20,u_100358,1,5,2,lost,10,167.0,1687,40.7225
21,u_100376,4,3,4,loyal customers,1,721.0,480,26.4525
22,u_100377,3,4,3,loyal customers,1,329.0,851,29.3375
23,u_100393,2,4,3,at risk,7,292.0,1176,31.04
24,u_1004,5,2,5,new customers,3,1209.0,221,15.5325
25,u_100404,5,4,2,potential loyalist,2,285.5,269,36.585
26,u_100405,4,3,2,potential loyalist,2,601.0,484,36.692499999999995
27,u_100415,3,5,4,loyal customers,1,116.0,701,21.9725
28,u_100416,2,4,3,at risk,7,402.0,1017,32.57
29,u_100435,5,4,2,potential loyalist,2,417.0,122,36.045
30,u_100436,2,3,5,at risk,7,723.0,994,14.627500000000001
31,u_100444,4,1,1,promising,4,1345.0,432,43.915
32,u_100447,4,3,3,loyal customers,1,709.0,517,32.9025
33,u_100453,3,2,3,need attention,5,1047.0,615,31.020000000000003
34,u_100479,1,5,1,lost,10,23.0,1836,49.1275
35,u_100493,3,3,5,loyal customers,1,898.0,840,17.1
36,u_100506,5,4,4,loyal customers,1,296.0,164,23.995
37,u_100512,3,2,5,others,11,1103.0,603,13.3975
38,u_100518,5,1,2,new customers,3,1438.0,217,34.4225
39,u_100524,4,4,5,loyal customers,1,443.0,466,13.32
40,u_100530,4,1,3,others,11,1362.0,485,31.8425
41,u_100541,2,5,1,others,11,104.0,1187,43.925
42,u_100554,4,2,2,promising,4,1082.0,434,40.864999999999995
43,u_100565,3,3,2,potential loyalist,2,819.0,867,41.9925
44,u_100578,4,3,3,loyal customers,1,841.0,319,32.1425
45,u_100579,3,3,5,loyal customers,1,895.0,822,14.9325
46,u_100580,5,2,4,new customers,3,1090.0,87,21.2375
47,u_100639,5,5,3,loyal customers,1,172.0,216,31.1725
48,u_100664,3,4,5,loyal customers,1,524.0,893,20.3
49,u_100666,1,4,5,lost,10,357.0,1613,12.4825
50,u_100669,4,2,4,others,11,1087.0,581,23.662499999999998
51,u_100673,2,4,5,at risk,7,299.5,1298,18.105
52,u_100674,2,5,3,at risk,7,152.0,1204,32.75
53,u_100686,5,3,4,loyal customers,1,717.0,155,22.775
54,u_100695,4,5,1,others,11,261.0,586,47.412499999999994
55,u_100697,5,2,3,new customers,3,1142.0,154,34.1275
56,u_100700,3,3,2,potential loyalist,2,779.0,721,41.2
57,u_100725,4,2,2,promising,4,943.0,408,37.89
58,u_100734,5,5,4,loyal customers,1,215.0,124,24.9875
59,u_100751,3,4,3,loyal customers,1,453.0,842,31.302500000000002
60,u_10077,1,5,3,lost,10,222.0,1636,32.845
61,u_100770,2,4,1,others,11,338.0,1179,49.557500000000005
62,u_100771,5,1,3,new customers,3,1647.0,252,27.939999999999998
63,u_100780,2,5,3,at risk,7,106.0,1106,31.605
64,u_100781,4,1,2,promising,4,1386.0,538,37.7575
65,u_100782,3,3,4,loyal customers,1,670.0,847,27.369999999999997
66,u_100809,4,3,2,potential loyalist,2,808.0,296,39.85
67,u_100821,3,4,3,loyal customers,1,578.0,777,33.47
68,u_100839,2,5,2,others,11,198.0,1155,34.3375
69,u_100847,4,3,2,potential loyalist,2,815.0,361,36.4825
70,u_10085,1,5,4,lost,10,34.0,1326,25.575
71,u_100850,4,2,3,others,11,1125.0,561,28.745
72,u_100862,2,4,5,at risk,7,295.0,965,20.045
73,u_10087,5,3,2,potential loyalist,2,751.0,265,39.589999999999996
74,u_100872,2,5,3,at risk,7,175.66666666666666,1009,30.074999999999996
75,u_100878,4,4,2,potential loyalist,2,433.0,338,38.6575
76,u_100883,1,4,4,lost,10,297.0,1370,24.674999999999997
77,u_100892,3,4,3,loyal customers,1,305.0,915,28.921666666666667
78,u_100899,2,5,2,others,11,261.0,1183,41.125
79,u_10091,3,2,5,others,11,936.0,638,14.725
80,u_100921,2,5,3,at risk,7,183.0,1164,29.225
81,u_100936,4,3,1,others,11,816.0,533,48.985
82,u_100938,4,4,3,loyal customers,1,485.5,350,28.123333333333335
83,u_100958,2,4,2,others,11,295.5,1066,36.559999999999995
84,u_100966,5,5,2,potential loyalist,2,162.0,156,38.370000000000005
85,u_100987,3,3,3,loyal customers,1,842.0,852,28.259999999999998
86,u_100999,5,5,2,potential loyalist,2,34.0,188,34.6525
87,u_101026,1,4,5,lost,10,419.0,1502,17.71
88,u_101039,2,5,5,at risk,7,224.0,1130,20.2675
89,u_101078,5,2,1,new customers,3,986.0,24,47.412499999999994
90,u_101084,4,2,2,promising,4,1091.0,541,34.332499999999996
91,u_101088,3,2,5,others,11,970.0,820,13.935
92,u_101089,3,5,3,loyal customers,1,193.0,700,32.575
93,u_101097,5,2,1,new customers,3,1196.0,182,44.115
94,u_101101,5,5,3,loyal customers,1,98.0,76,32.6625
