,hours,hourly_sessions,hourly_baskets,hourly_order_screens,hourly_orders
0,0,94.14634146341463,94.60975609756098,53.390243902439025,34.20987654320987
1,1,110.02409638554217,110.07228915662651,63.54216867469879,42.34146341463415
2,2,115.19277108433735,118.19277108433735,66.43373493975903,42.707317073170735
3,3,115.01204819277109,118.07228915662651,66.86746987951807,42.853658536585364
4,4,132.40963855421685,132.710843373494,71.59036144578313,43.08536585365854
5,5,136.14285714285714,137.01190476190476,70.97619047619048,41.8780487804878
6,6,154.20238095238096,152.9404761904762,75.0952380952381,42.68292682926829
7,7,187.14285714285714,185.51190476190476,91.42857142857143,50.646341463414636
8,8,354.34939759036143,348.32530120481925,197.4578313253012,134.70731707317074
9,9,593.9638554216867,586.7831325301205,368.5903614457831,272.3170731707317
10,10,575.1686746987951,565.7349397590361,358.2530120481928,266.9268292682927
11,11,565.0602409638554,559.4457831325301,357.0240963855422,270.390243902439
12,12,566.5853658536586,560.6585365853658,361.109756097561,269.9512195121951
13,13,555.280487804878,550.3170731707318,355.2682926829268,266.9634146341463
14,14,543.6951219512196,542.6219512195122,354.2926829268293,269.609756097561
15,15,528.1463414634146,526.390243902439,348.0487804878049,264.6219512195122
16,16,495.9756097560976,495.9512195121951,313.0243902439024,230.52439024390245
17,17,563.0,567.3170731707318,361.4878048780488,266.1951219512195
18,18,995.5121951219512,1002.890243902439,685.5487804878048,531.5121951219512
19,19,983.144578313253,991.0481927710844,680.1325301204819,537.2073170731708
20,20,981.0361445783133,985.0602409638554,671.3975903614457,529.5975609756098
21,21,969.3452380952381,973.0714285714286,667.4285714285714,534.4878048780488
22,22,939.7142857142857,945.4404761904761,659.6190476190476,532.5731707317074
23,23,807.7738095238095,811.6904761904761,576.9404761904761,462.60714285714283
